"Species","HighCount","LowCount","UnclassifiedCount","RecordCount","Trials","BinaryID"
"Seriola_lalandi",0,0,0,0,0,"binary:Seriola_lalandi"
"Trachinotus_anak",0,0,0,0,0,"binary:Trachinotus_anak"
"Trachurus_japonicus",0,0,0,0,0,"binary:Trachurus_japonicus"
"Trachurus_trachurus",0,0,0,0,0,"binary:Trachurus_trachurus"
"Echeneis_naucrates",0,0,0,0,0,"binary:Echeneis_naucrates"
"Paralichthys_olivaceus",2,0,0,2,2,"binary:Paralichthys_olivaceus"
"Hippoglossus_hippoglossus",0,0,0,0,0,"binary:Hippoglossus_hippoglossus"
"Hippoglossus_stenolepis",0,0,0,0,0,"binary:Hippoglossus_stenolepis"
"Limanda_limanda",0,0,0,0,0,"binary:Limanda_limanda"
"Platichthys_flesus",0,0,0,0,0,"binary:Platichthys_flesus"
"Platichthys_stellatus",1,0,0,1,1,"binary:Platichthys_stellatus"
"Pleuronectes_platessa",0,0,0,0,0,"binary:Pleuronectes_platessa"
"Scophthalmus_maximus",1,0,0,1,1,"binary:Scophthalmus_maximus"
"Microchirus_variegatus",0,0,0,0,0,"binary:Microchirus_variegatus"
"Solea_senegalensis",0,0,0,0,0,"binary:Solea_senegalensis"
"Solea_solea",0,0,0,0,0,"binary:Solea_solea"
"Parambassis_ranga",0,0,0,0,0,"binary:Parambassis_ranga"
"Brachyistius_frenatus",0,0,0,0,0,"binary:Brachyistius_frenatus"
"Embiotoca_jacksoni",0,0,0,0,0,"binary:Embiotoca_jacksoni"
"Acanthochromis_polyacanthus",0,0,0,0,0,"binary:Acanthochromis_polyacanthus"
"Amphiprion_ocellaris",0,0,0,0,0,"binary:Amphiprion_ocellaris"
"Stegastes_partitus",0,0,0,0,0,"binary:Stegastes_partitus"
"Andinoacara_rivulatus",0,0,0,0,0,"binary:Andinoacara_rivulatus"
"Archocentrus_centrarchus",0,0,0,0,0,"binary:Archocentrus_centrarchus"
"Astatotilapia_burtoni",0,0,0,0,0,"binary:Astatotilapia_burtoni"
"Astatotilapia_calliptera",0,0,0,0,0,"binary:Astatotilapia_calliptera"
"Astronotus_ocellatus",2,0,0,2,2,"binary:Astronotus_ocellatus"
"Aulonocara_stuartgranti",0,0,0,0,0,"binary:Aulonocara_stuartgranti"
"Copadichromis_virginalis",0,0,0,0,0,"binary:Copadichromis_virginalis"
"Diplotaxodon_limnothrissa",0,0,0,0,0,"binary:Diplotaxodon_limnothrissa"
"Haplochromis_nyererei",0,0,0,0,0,"binary:Haplochromis_nyererei"
"Maylandia_zebra",0,0,0,0,0,"binary:Maylandia_zebra"
"Mchenga_conophoros",0,0,0,0,0,"binary:Mchenga_conophoros"
"Neolamprologus_brichardi",0,0,0,0,0,"binary:Neolamprologus_brichardi"
"Neolamprologus_multifasciatus",0,0,0,0,0,"binary:Neolamprologus_multifasciatus"
"Oreochromis_aureus",0,0,0,0,0,"binary:Oreochromis_aureus"
"Oreochromis_niloticus",2,1,0,3,3,"binary:Oreochromis_niloticus"
"Pelmatolapia_mariae",0,0,0,0,0,"binary:Pelmatolapia_mariae"
"Perissodus_microlepis",0,0,0,0,0,"binary:Perissodus_microlepis"
"Pterophyllum_scalare",1,0,0,1,1,"binary:Pterophyllum_scalare"
"Rhamphochromis_longiceps",0,0,0,0,0,"binary:Rhamphochromis_longiceps"
"Sarotherodon_galilaeus",0,0,0,0,0,"binary:Sarotherodon_galilaeus"
"Simochromis_diagramma",0,0,0,0,0,"binary:Simochromis_diagramma"
"Leuresthes_tenuis",0,0,0,0,0,"binary:Leuresthes_tenuis"
"Menidia_menidia",0,0,0,0,0,"binary:Menidia_menidia"
"Odontesthes_bonariensis",0,0,0,0,0,"binary:Odontesthes_bonariensis"
"Melanotaenia_boesemani",0,0,0,0,0,"binary:Melanotaenia_boesemani"
"Telmatherina_bonti",0,0,0,0,0,"binary:Telmatherina_bonti"
"Oryzias_javanicus",0,0,0,0,0,"binary:Oryzias_javanicus"
"Oryzias_latipes",0,0,0,0,0,"binary:Oryzias_latipes"
"Oryzias_melastigma",0,0,0,0,0,"binary:Oryzias_melastigma"
"Xenentodon_cancila",0,0,0,0,0,"binary:Xenentodon_cancila"
"Cololabis_saira",0,0,0,0,0,"binary:Cololabis_saira"
"Anableps_anableps",0,0,0,0,0,"binary:Anableps_anableps"
"Cyprinodon_tularosa",0,0,0,0,0,"binary:Cyprinodon_tularosa"
"Cyprinodon_variegatus",0,0,0,0,0,"binary:Cyprinodon_variegatus"
"Fundulus_diaphanus",0,0,0,0,0,"binary:Fundulus_diaphanus"
"Fundulus_heteroclitus",0,0,0,0,0,"binary:Fundulus_heteroclitus"
"Ameca_splendens",0,0,0,0,0,"binary:Ameca_splendens"
"Crenichthys_baileyi",0,0,0,0,0,"binary:Crenichthys_baileyi"
"Girardinichthys_multiradiatus",0,0,0,0,0,"binary:Girardinichthys_multiradiatus"
"Nothobranchius_furzeri",0,0,0,0,0,"binary:Nothobranchius_furzeri"
