"Version","Design","Route","Model","Species","Records","SumDifference","MeanDifference","ContributionToRecordMean","ContributionToSpeciesMean"
"v2","tenfold","joint_bb","M3","Astronotus_ocellatus",2,0.165690571771821,0.0828452858859103,0.00108294491354131,0.00162441737031197
"v2","tenfold","joint_bb","M3","Carassius_auratus",4,3.46189166682982,0.865472916707455,0.0226267429204563,0.0169700571903423
"v2","tenfold","joint_bb","M3","Carassius_carassius",1,1.25832272095019,1.25832272095019,0.00822433150947833,0.024672994528435
"v2","tenfold","joint_bb","M3","Channa_argus",1,0.48989705504837,0.48989705504837,0.00320194153626386,0.00960582460879157
"v2","tenfold","joint_bb","M3","Cirrhinus_molitorella",1,1.20185439527005,1.20185439527005,0.00785525748542515,0.0235657724562755
"v2","tenfold","joint_bb","M3","Cromileptes_altivelis",6,0.853741664154016,0.142290277359003,0.00558001087682363,0.00279000543841182
"v2","tenfold","joint_bb","M3","Ctenopharyngodon_idella",1,1.10966126261624,1.10966126261624,0.00725268799095579,0.0217580639728674
"v2","tenfold","joint_bb","M3","Danio_rerio",3,1.20372767472195,0.40124255824065,0.00786750114197353,0.00786750114197353
"v2","tenfold","joint_bb","M3","Eleutheronema_tetradactylum",1,-0.13632688049721,-0.13632688049721,-0.000891025362726863,-0.00267307608818059
"v2","tenfold","joint_bb","M3","Epinephelus_bruneus",3,-0.0891097135407179,-0.029703237846906,-0.000582416428370706,-0.000582416428370706
"v2","tenfold","joint_bb","M3","Epinephelus_coioides",2,0.288675281470515,0.144337640735258,0.00188676654555892,0.00283014981833838
"v2","tenfold","joint_bb","M3","Epinephelus_fuscoguttatus",2,0.2258080699364,0.1129040349682,0.00147586973814641,0.00221380460721961
"v2","tenfold","joint_bb","M3","Epinephelus_lanceolatus",2,-0.00164532322938704,-0.000822661614693521,-1.07537465973009e-05,-1.61306198959514e-05
"v2","tenfold","joint_bb","M3","Epinephelus_malabaricus",3,0.543761925503456,0.181253975167819,0.00355399951309449,0.00355399951309449
"v2","tenfold","joint_bb","M3","Larimichthys_crocea",2,0.461930837832953,0.230965418916477,0.00301915580282976,0.00452873370424464
"v2","tenfold","joint_bb","M3","Lateolabrax_japonicus",4,0.219551472480881,0.0548878681202203,0.00143497694431948,0.00107623270823961
"v2","tenfold","joint_bb","M3","Lateolabrax_maculatus",1,0.117672461466556,0.117672461466556,0.000769101055336967,0.0023073031660109
"v2","tenfold","joint_bb","M3","Lates_calcarifer",4,0.0978678346703352,0.0244669586675838,0.00063965905013291,0.000479744287599682
"v2","tenfold","joint_bb","M3","Lethrinus_nebulosus",2,-0.0656852101771699,-0.0328426050885849,-0.000429315099197189,-0.000643972648795783
"v2","tenfold","joint_bb","M3","Lutjanus_erythropterus",1,-0.507308323974214,-0.507308323974214,-0.00331574067957003,-0.00994722203871008
"v2","tenfold","joint_bb","M3","Maccullochella_peelii",8,0.441786353258038,0.0552232941572547,0.00288749250495449,0.00108280968935793
"v2","tenfold","joint_bb","M3","Micropterus_salmoides",3,-0.111038599608318,-0.037012866536106,-0.000725742481100118,-0.000725742481100118
"v2","tenfold","joint_bb","M3","Mugil_cephalus",2,0.0894434207718727,0.0447217103859364,0.000584597521384789,0.000876896282077184
"v2","tenfold","joint_bb","M3","Oplegnathus_fasciatus",23,4.61601973992658,0.20069651043159,0.0301700636596508,0.00393522569473707
"v2","tenfold","joint_bb","M3","Oplegnathus_punctatus",1,0.627330938786096,0.627330938786096,0.00410020221428821,0.0123006066428646
"v2","tenfold","joint_bb","M3","Oreochromis_niloticus",3,-0.864413051064715,-0.288137683688238,-0.00564975850369095,-0.00564975850369095
"v2","tenfold","joint_bb","M3","Oxyeleotris_marmorata",2,-0.668548072700421,-0.33427403635021,-0.00436959524640798,-0.00655439286961197
"v2","tenfold","joint_bb","M3","Pagrus_major",9,-0.914911534205056,-0.101656837133895,-0.00597981394905266,-0.00199327131635089
"v2","tenfold","joint_bb","M3","Pampus_argenteus",5,0.188357849474963,0.0376715698949925,0.00123109705539191,0.000738658233235147
"v2","tenfold","joint_bb","M3","Paralichthys_olivaceus",2,-0.905537110166186,-0.452768555083093,-0.00591854320370056,-0.00887781480555084
"v2","tenfold","joint_bb","M3","Platax_orbicularis",1,-0.00623103254774993,-0.00623103254774993,-4.07257029264701e-05,-0.00012217710877941
"v2","tenfold","joint_bb","M3","Platichthys_stellatus",1,0.056001938821782,0.056001938821782,0.000366025743933216,0.00109807723179965
"v2","tenfold","joint_bb","M3","Plectropomus_leopardus",2,0.237989894654353,0.118994947327176,0.00155548950754479,0.00233323426131718
"v2","tenfold","joint_bb","M3","Poecilia_latipinna",1,1.7686629470829,1.7686629470829,0.0115598885430255,0.0346796656290764
"v2","tenfold","joint_bb","M3","Poecilia_reticulata",3,0.84757629191415,0.28252543063805,0.00553971432623628,0.00553971432623628
"v2","tenfold","joint_bb","M3","Poropanchax_normani",2,-0.987444518266525,-0.493722259133263,-0.00645388574030408,-0.00968082861045613
"v2","tenfold","joint_bb","M3","Pterapogon_kauderni",3,-0.58202230143829,-0.194007433812763,-0.00380406732966203,-0.00380406732966203
"v2","tenfold","joint_bb","M3","Pterophyllum_scalare",1,0.102242847178081,0.102242847178081,0.000668253903124713,0.00200476170937414
"v2","tenfold","joint_bb","M3","Pygocentrus_nattereri",1,-1.55718694331233,-1.55718694331233,-0.0101776924399499,-0.0305330773198496
"v2","tenfold","joint_bb","M3","Rhabdosargus_sarba",1,-0.2723477024705,-0.2723477024705,-0.00178005034294444,-0.00534015102883333
"v2","tenfold","joint_bb","M3","Sciaenops_ocellatus",1,0.0842401467824671,0.0842401467824671,0.000550589194656647,0.00165176758396994
"v2","tenfold","joint_bb","M3","Scophthalmus_maximus",1,0.0776016023189201,0.0776016023189201,0.000507200015156341,0.00152160004546902
"v2","tenfold","joint_bb","M3","Seriola_dumerili",2,-0.468859938465391,-0.234429969232696,-0.00306444404225746,-0.00459666606338619
"v2","tenfold","joint_bb","M3","Siniperca_chuatsi",11,1.44671412377209,0.131519465797463,0.00945564786779142,0.00257881305485221
"v2","tenfold","joint_bb","M3","Siniperca_scherzeri",4,-0.733298348367275,-0.183324587091819,-0.00479279966253121,-0.00359459974689841
"v2","tenfold","joint_bb","M3","Thunnus_orientalis",3,-0.460389709564003,-0.153463236521334,-0.00300908306904577,-0.00300908306904577
"v2","tenfold","joint_bb","M3","Trichopodus_trichopterus",1,-0.72404439492264,-0.72404439492264,-0.00473231630668392,-0.0141969489200518
"v2","tenfold","joint_bb","M3","Xiphophorus_hellerii",4,2.33259653667215,0.583149134168038,0.0152457289978572,0.0114342967483929
"v2","tenfold","joint_bb","M3","Xiphophorus_maculatus",1,1.65003976090955,1.65003976090955,0.010784573600716,0.0323537208021481
"v34_record_training","fivefold","binary","M1","Acanthopagrus_schlegelii",4,-1.9487263909554,-0.48718159773885,-0.0128205683615487,-0.009743631954777
"v34_record_training","fivefold","binary","M1","Astronotus_ocellatus",2,0.221591579653344,0.110795789826672,0.00145783933982463,0.00221591579653344
"v34_record_training","fivefold","binary","M1","Carassius_auratus",4,4.73061939012762,1.1826548475319,0.0311224959876817,0.0236530969506381
"v34_record_training","fivefold","binary","M1","Carassius_carassius",1,1.1826548475319,1.1826548475319,0.00778062399692042,0.0236530969506381
"v34_record_training","fivefold","binary","M1","Channa_argus",1,0.517486742161548,0.517486742161548,0.0034045180405365,0.010349734843231
"v34_record_training","fivefold","binary","M1","Cirrhinus_molitorella",1,1.14058229095556,1.14058229095556,0.00750383086154971,0.0228116458191111
"v34_record_training","fivefold","binary","M1","Cromileptes_altivelis",6,0.489458667377598,0.081576444562933,0.00322012281169472,0.00163152889125866
"v34_record_training","fivefold","binary","M1","Ctenopharyngodon_idella",1,1.15789113847398,1.15789113847398,0.00761770485838146,0.0231578227694796
"v34_record_training","fivefold","binary","M1","Danio_rerio",3,3.23970770164215,1.07990256721405,0.021313866458172,0.021598051344281
"v34_record_training","fivefold","binary","M1","Eleutheronema_tetradactylum",1,-0.057557150593247,-0.057557150593247,-0.000378665464429257,-0.00115114301186494
"v34_record_training","fivefold","binary","M1","Epinephelus_bruneus",3,0.229274756415258,0.076424918805086,0.00150838655536354,0.00152849837610172
"v34_record_training","fivefold","binary","M1","Epinephelus_coioides",2,0.126188662146358,0.063094331073179,0.000830188566752355,0.00126188662146358
"v34_record_training","fivefold","binary","M1","Epinephelus_fuscoguttatus",2,0.235397580444008,0.117698790222004,0.00154866829239479,0.00235397580444008
"v34_record_training","fivefold","binary","M1","Epinephelus_lanceolatus",2,0.235397580444008,0.117698790222004,0.00154866829239479,0.00235397580444008
"v34_record_training","fivefold","binary","M1","Epinephelus_malabaricus",3,0.229274756415258,0.076424918805086,0.00150838655536354,0.00152849837610172
"v34_record_training","fivefold","binary","M1","Larimichthys_crocea",2,0.231706837867614,0.115853418933807,0.0015243870912343,0.00231706837867614
