"Version","Design","Route","Model","TrainWeighting","EvalWeighting","Inference","Species","Records","Difference","SE","Z","P","ScaledDifference","ScaledSE","AuditPurpose"
"v2","tenfold","joint_bb","M1","record_equal","species_equal","current_species_bootstrap",51,153,0.0438932131989652,0.0983622105441618,0.44624061370864,0.655423448611884,6.71566161944167,15.0494182132568,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M2","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0852899145668559,0.0455000140611441,1.8745030375648,0.0608611237808774,13.0493569287289,6.96150215135504,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M2","record_equal","record_equal","current_species_bootstrap",51,153,0.0852899145668559,0.0445269552696716,1.91546702554237,0.055432970483365,13.0493569287289,6.81262415625975,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M2","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0984313191431037,0.0926197916607902,1.06274606515633,0.28789712450697,15.0599918288949,14.1708281241009,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M2","record_equal","species_equal","current_species_bootstrap",51,153,0.0984313191431037,0.0902543738234013,1.09059888150908,0.275449421942523,15.0599918288949,13.8089191949804,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M3","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.11579207037078,0.0516006603743724,2.24400365287357,0.0248321663153567,17.7161867667294,7.89490103727898,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M3","record_equal","record_equal","current_species_bootstrap",51,153,0.11579207037078,0.0450022852766014,2.57302645096971,0.0100813502573958,17.7161867667294,6.88534964732002,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M3","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.130679855083667,0.078856029924837,1.65719546378669,0.0974799633735883,19.9940178278011,12.0649725785001,"method_attribution_only_fixed_saved_OOF"
"v2","tenfold","joint_bb","M3","record_equal","species_equal","current_species_bootstrap",51,153,0.130679855083667,0.0777778280541726,1.6801684792824,0.0929245402724263,19.9940178278011,11.9000076922884,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M1","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.124809340666407,0.0493065081329906,2.53129546975357,0.0113642073200641,18.9710197812938,7.49458923621457,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M1","record_equal","record_equal","current_species_bootstrap",50,152,0.124809340666407,0.0461747022213203,2.70298095412033,0.00687206839457827,18.9710197812938,7.01855473764069,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M1","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.149032402180741,0.0580001701098451,2.56951663932178,0.0101840500915041,22.6529251314726,8.81602585669646,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M1","record_equal","species_equal","current_species_bootstrap",50,152,0.149032402180741,0.0569809213444666,2.61547898251408,0.00891024048064682,22.6529251314726,8.66110004435893,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M2","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.118288002867911,0.0481270763291314,2.4578264854271,0.0139780691592475,17.9797764359225,7.31531560202798,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M2","record_equal","record_equal","current_species_bootstrap",50,152,0.118288002867911,0.0453954482711419,2.60572386379776,0.0091680340723602,17.9797764359225,6.90010813721357,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M2","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.141937466638075,0.0566443450129943,2.50576587310726,0.012218649705555,21.5744949289874,8.60994044197514,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M2","record_equal","species_equal","current_species_bootstrap",50,152,0.141937466638075,0.0554113902924141,2.56152148302091,0.0104214795737585,21.5744949289874,8.42253132444695,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M3","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.131723178025064,0.0473926653957097,2.77940008069241,0.0054459404998335,20.0219230598097,7.20368514014787,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M3","record_equal","record_equal","current_species_bootstrap",50,152,0.131723178025064,0.0406420492799501,3.24105650081101,0.00119087577875595,20.0219230598097,6.17759149055242,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M3","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.137783284282905,0.0527046805582811,2.61425138760766,0.00894232139289968,20.9430592110015,8.01111144485873,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","binary","M3","record_equal","species_equal","current_species_bootstrap",50,152,0.137783284282905,0.0520519683827101,2.64703312024357,0.00812013996819592,20.9430592110015,7.91189919417193,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M1","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0466157431459736,0.0491799833778823,0.947860083396005,0.3432006881501,7.13220870133396,7.52453745681599,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M1","record_equal","record_equal","current_species_bootstrap",51,153,0.0466157431459736,0.0510216328484561,0.913646634642823,0.360902553533146,7.13220870133396,7.80630982581378,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M1","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.0467095623261133,0.0921028463460239,0.507145698305878,0.612052592647382,7.14656303589533,14.0917354909416,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M1","record_equal","species_equal","current_species_bootstrap",51,153,0.0467095623261133,0.0922224993231118,0.5064877081943,0.612514316482015,7.14656303589533,14.1100423964361,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M2","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0862281068709532,0.0456844024167324,1.88747367393321,0.0590966440029159,13.1929003512558,6.98971356976005,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M2","record_equal","record_equal","current_species_bootstrap",51,153,0.0862281068709532,0.0479022763902857,1.80008369891247,0.0718474231365929,13.1929003512558,7.32904828771371,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M2","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.107530888561827,0.0824277632748307,1.30454696681866,0.192047156790607,16.4522259499595,12.6114477810491,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M2","record_equal","species_equal","current_species_bootstrap",51,153,0.107530888561827,0.0829561730562738,1.29623733352408,0.194893731010149,16.4522259499595,12.6922944776099,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M3","record_equal","record_equal","analytic_species_sums_or_means",51,153,0.0923437166716571,0.0454772797817445,2.03054617854971,0.0423010522046129,14.1285886507635,6.9580238066069,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M3","record_equal","record_equal","current_species_bootstrap",51,153,0.0923437166716571,0.0449618546062347,2.05382356845334,0.0399927709691355,14.1285886507635,6.87916375475391,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M3","record_equal","species_equal","analytic_species_sums_or_means",51,153,0.120722223524806,0.0748585028170367,1.61267216123553,0.10681575177845,18.4705001992954,11.4533509310066,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","fivefold","joint_bb","M3","record_equal","species_equal","current_species_bootstrap",51,153,0.120722223524806,0.0739889907501239,1.63162414165792,0.102758689307355,18.4705001992954,11.320315584769,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M1","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.101945526746656,0.0488957128152535,2.08495839158424,0.0370730775784428,15.4957200654917,7.43214834791854,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M1","record_equal","record_equal","current_species_bootstrap",50,152,0.101945526746656,0.0507901963137134,2.00718906690129,0.0447295353154697,15.4957200654917,7.72010983968444,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M1","record_equal","species_equal","analytic_species_sums_or_means",50,152,0.140148262830679,0.062247200703243,2.25147896206323,0.0243552178955481,21.3025359502632,9.46157450689294,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M1","record_equal","species_equal","current_species_bootstrap",50,152,0.140148262830679,0.0623693133899496,2.2470707983337,0.0246355028231883,21.3025359502632,9.48013563527233,"method_attribution_only_fixed_saved_OOF"
"v34_record_training","tenfold","binary","M2","record_equal","record_equal","analytic_species_sums_or_means",50,152,0.0929488583474897,0.0491477306083126,1.89121363686666,0.0585958316928143,14.1282264688184,7.47045505246351,"method_attribution_only_fixed_saved_OOF"
