"Scope","Design","Fold","Route","Model","EvalWeighting","Family","ModelA","ModelB","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",5,"joint_bb","M1","record_equal","training_method","species_equal","record_equal",-0.0631283927208548,0.0260922249040723,-0.107455925349532,-0.00127330214635163,-2.41943310518537,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",1,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",-0.00544052666443976,0.00998667154607248,-0.0242921305652091,0.0152659702603923,-0.544778772320733,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",-0.0287933741608487,0.0427457474004459,-0.149344077888904,0.0182025307714589,-0.6735962268038,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",-0.0288749138965919,0.062229616901942,-0.167260549747453,0.0705199295083026,-0.464005972302406,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",0.0359179304822378,0.0528807493759873,-0.0685898840089253,0.143441050155054,0.679225065947113,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",5,"joint_bb","M2","record_equal","training_method","species_equal","record_equal",-0.0517991532288169,0.0243474611318799,-0.090419438238316,0.00755769641234169,-2.12749711143362,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",1,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",-0.0733087978084326,0.0628924049606884,-0.209399176370364,0.0370506185391013,-1.1656224285628,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",17,11,2000,
"fold","fivefold",2,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",0.0412602566541235,0.0396102565783028,-0.0664001126191624,0.0787590686834652,1.04165587952097,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",45,10,2000,
"fold","fivefold",3,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",-0.0146642734515922,0.0577557649747451,-0.141279875963638,0.0831619912295544,-0.253901466944546,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","M3","record_equal","training_method","species_equal","record_equal",-0.00626618395191349,0.0565272534519505,-0.0930893885971939,0.123108221398548,-0.1108524396509,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
