"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"fivefold",3,"binary","M3","record_equal","species_equal",26,10,26,10,0,0,26,-12.9167237384177,-0.496797066862217,0.794670846394984,0.158659742950593,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M3","record_equal","record_equal",60,10,60,10,0,0,60,-20.9702222231427,-0.349503703719045,0.925925925925926,0.0953855285904667,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M3","record_equal","species_equal",60,10,60,10,0,0,60,-29.7100546755576,-0.49516757792596,0.790214974054855,0.161176328151485,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M3","record_equal","record_equal",22,10,22,10,0,0,22,-11.1104686932656,-0.505021304239345,0.770833333333333,0.164280244113342,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M3","record_equal","species_equal",22,10,22,10,0,0,22,-9.2765250722513,-0.421660230556878,0.845777455599855,0.129346733410082,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M3","species_equal","record_equal",20,10,20,10,0,0,20,-10.2185391350557,-0.510926956752785,0.633333333333333,0.164870796625402,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"binary","M3","species_equal","species_equal",20,10,20,10,0,0,20,-9.1117570446144,-0.45558785223072,0.79343365253078,0.143500443523901,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M3","species_equal","record_equal",24,10,24,10,0,0,24,-13.2912089752713,-0.553800373969637,0.868055555555556,0.186432491411046,,,,0,,,0,"weighted_record_or_species"
"fivefold",2,"binary","M3","species_equal","species_equal",24,10,24,10,0,0,24,-14.405346799956,-0.600222783331502,0.78,0.205192715203431,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M3","species_equal","record_equal",26,10,26,10,0,0,26,-12.5270885101742,-0.481811096545162,0.635338345864662,0.150780996131834,,,,0,,,0,"weighted_record_or_species"
"fivefold",3,"binary","M3","species_equal","species_equal",26,10,26,10,0,0,26,-12.9684593951625,-0.498786899813942,0.656739811912226,0.158975990759949,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M3","species_equal","record_equal",60,10,60,10,0,0,60,-20.5788376647978,-0.34298062774663,0.962962962962963,0.0932845379581038,,,,0,,,0,"weighted_record_or_species"
"fivefold",4,"binary","M3","species_equal","species_equal",60,10,60,10,0,0,60,-29.3658672021593,-0.489431120035988,0.863602668643439,0.15877932560974,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M3","species_equal","record_equal",22,10,22,10,0,0,22,-11.2527338841531,-0.51148790382514,0.65625,0.16703584425816,,,,0,,,0,"weighted_record_or_species"
"fivefold",5,"binary","M3","species_equal","species_equal",22,10,22,10,0,0,22,-9.67359967662359,-0.439709076210163,0.763138818412468,0.135079299440814,,,,0,,,0,"weighted_record_or_species"
"fivefold",1,"joint_bb","Null","record_equal","record_equal",17,11,17,11,9,9,17,-17.9632719486343,-1.05666305580202,,,0.259534572256351,0.336415635956407,0.0247670352104102,13,1,0.881230041663423,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","Null","record_equal","species_equal",17,11,17,11,9,9,17,-20.0161147203348,-1.17741851296087,,,0.29360665420739,0.382716238246273,0.117051223244598,13,1,0.885559160756599,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","Null","record_equal","record_equal",45,10,45,10,10,10,45,-57.8117470644651,-1.28470549032145,,,0.338766332264509,0.377916431151707,-0.085652529082824,45,1,0.961411176785107,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",2,"joint_bb","Null","record_equal","species_equal",45,10,45,10,10,10,45,-68.7236096028894,-1.52719132450865,,,0.330654605926275,0.384032628966191,-0.0209290186158353,45,1,0.92121394465224,45,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","Null","record_equal","record_equal",23,10,23,10,10,10,23,-19.627249420343,-0.853358670449696,,,0.328016408607496,0.422849158955158,0.220451429524008,23,0.956521739130435,0.834974635827537,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",3,"joint_bb","Null","record_equal","species_equal",23,10,23,10,10,10,23,-24.1464200663463,-1.04984435071071,,,0.362896821963927,0.458127509882281,0.279292009234153,23,0.9,0.839376194044395,23,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","Null","record_equal","record_equal",40,10,40,10,9,9,40,-60.3003523595819,-1.50750880898955,,,0.316781673431986,0.371395486617161,0.0412595478854489,36,0.944444444444444,0.946683940739312,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",4,"joint_bb","Null","record_equal","species_equal",40,10,40,10,9,9,40,-55.7896290143307,-1.39474072535827,,,0.38098624598352,0.438196818362424,0.131738800285998,36,0.861111111111111,0.907217133440042,36,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","Null","record_equal","record_equal",28,10,28,10,10,10,28,-38.6130069528305,-1.37903596260109,,,0.310360849910952,0.354535916755514,-0.0563181736017453,28,0.964285714285714,0.921412480556693,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",5,"joint_bb","Null","record_equal","species_equal",28,10,28,10,10,10,28,-39.8671074444484,-1.42382526587316,,,0.314042099156278,0.384920798660807,0.0806580168744452,28,0.9,0.848951031072716,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","Null","species_equal","record_equal",17,11,17,11,9,9,17,-18.7579270558213,-1.10340747387184,,,0.281408911236838,0.337035436006318,-0.0321062461388552,13,1,0.927134445810771,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"fivefold",1,"joint_bb","Null","species_equal","species_equal",17,11,17,11,9,9,17,-20.0825305917419,-1.18132532892599,,,0.299925907690642,0.369313030971125,0.0601779418953328,13,1,0.93021143711501,13,"full_metric_valid_set_weights; PI_matches_record_observation_model"
