"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"tenfold","binary","M1","species_equal","species_equal",10,152,50,152,50,0,0,152,-77.6215918292704,-0.510668367297832,0.768763181263181,0.758074181818182,0.768763181263181,0.164443443120107,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M2","record_equal","record_equal",10,152,50,152,50,0,0,152,-71.4914105458038,-0.470338227275025,0.746693121693122,0.641403256704981,0.746693121693122,0.144086601279081,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M2","record_equal","species_equal",10,152,50,152,50,0,0,152,-77.7997884192261,-0.511840713284382,0.748025585525586,0.697908363636364,0.748025585525586,0.162489122081482,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M2","species_equal","record_equal",10,152,50,152,50,0,0,152,-70.777319574047,-0.465640260355573,0.7295291005291,0.704861111111111,0.7295291005291,0.141169711503412,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M2","species_equal","species_equal",10,152,50,152,50,0,0,152,-78.6204022123388,-0.517239488239071,0.711795149295149,0.713460363636364,0.711795149295149,0.163191955197235,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M3","record_equal","record_equal",10,152,50,152,50,0,0,152,-69.0030713792401,-0.453967574863422,0.798015873015873,0.758500957854406,0.798015873015873,0.141923809093815,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M3","record_equal","species_equal",10,152,50,152,50,0,0,152,-77.1648635206211,-0.50766357579356,0.755443167943168,0.751371636363636,0.755443167943168,0.164598532586117,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M3","species_equal","record_equal",10,152,50,152,50,0,0,152,-67.555677550686,-0.444445247043987,0.777248677248677,0.777418582375479,0.777248677248677,0.138121133848576,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","binary","M3","species_equal","species_equal",10,152,50,152,50,0,0,152,-76.7779618583143,-0.505118170120489,0.726047563547564,0.730949818181818,0.726047563547564,0.163186248374585,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"tenfold","joint_bb","Null","record_equal","record_equal",10,153,51,153,51,48,48,153,-198.630839034359,-1.29824077800235,,,,,0.321649699256429,0.380192196440268,0.0086324678653668,145,0.979310344827586,0.923899085848356,145,"full_design_records"
"tenfold","joint_bb","Null","record_equal","species_equal",10,153,51,153,51,48,48,153,-205.45124201316,-1.34281857524941,,,,,0.338010540501966,0.413020245686029,0.117672570670023,145,0.953125,0.879846133998297,145,"full_design_records"
"tenfold","joint_bb","Null","species_equal","record_equal",10,153,51,153,51,48,48,153,-199.704739465687,-1.30525973506985,,,,,0.335669308740922,0.380502966238486,-0.0437549016992562,145,0.986206896551724,0.945261173998681,145,"full_design_records"
"tenfold","joint_bb","Null","species_equal","species_equal",10,153,51,153,51,48,48,153,-203.463971182877,-1.32982987701227,,,,,0.341529168830869,0.400215441249274,0.062097634924993,145,0.973958333333333,0.914731410150119,145,"full_design_records"
"tenfold","joint_bb","M1","record_equal","record_equal",10,153,51,153,51,48,48,153,-193.59886041293,-1.26535202884268,,,,,0.297947608541546,0.352814103561272,0.00428328441237389,145,0.979310344827586,0.918778565684719,145,"full_design_records"
"tenfold","joint_bb","M1","record_equal","species_equal",10,153,51,153,51,48,48,153,-201.034614493682,-1.31395172871687,,,,,0.315869608186871,0.375895318489233,0.0785048104548993,145,0.953125,0.877182679681372,145,"full_design_records"
