"Design","Route","Model","TrainWeighting","EvalWeighting","FoldCount","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","PooledAUC","FoldMeanAUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration","binary","M2","species_equal","record_equal",2,70,11,70,11,0,0,70,-48.5315166594776,-0.69330738084968,0.503889761032618,0.491830065359477,0.503889761032618,0.250079963998338,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M2","species_equal","species_equal",2,70,11,70,11,0,0,70,-48.5099941469715,-0.692999916385307,0.501069061874303,0.478372034747745,0.501069061874303,0.249926282900225,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M3","record_equal","record_equal",2,70,11,70,11,0,0,70,-48.5081295520766,-0.692973279315381,0.502189080760509,0.495506535947712,0.502189080760509,0.249913012359222,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M3","record_equal","species_equal",2,70,11,70,11,0,0,70,-48.4760721295527,-0.692515316136467,0.499481575340221,0.480661125960575,0.499481575340221,0.249684064796276,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M3","species_equal","record_equal",2,70,11,70,11,0,0,70,-48.5173973856374,-0.693105676937677,0.457971393685679,0.465277777777778,0.457971393685679,0.249979028044862,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","binary","M3","species_equal","species_equal",2,70,11,70,11,0,0,70,-48.4523086328777,-0.692175837612539,0.460492906063155,0.469452472435683,0.460492906063155,0.249514328322089,,,,0,,,0,"full_design_records; AUC_is_unweighted_fold_mean_and_PooledAUC_is_record_evidence"
"integration","joint_bb","Null","record_equal","record_equal",2,114,12,114,12,11,11,114,-121.661684074956,-1.06720775504348,,,,,0.251004156385928,0.272560276954179,0.00568604787204306,70,0.985714285714286,0.890079839382949,70,"full_design_records"
"integration","joint_bb","Null","record_equal","species_equal",2,114,12,114,12,11,11,114,-123.626345653315,-1.08444162853785,,,,,0.247214973017115,0.268038131907383,0.0144987089503148,70,0.984848484848485,0.888345770462627,70,"full_design_records"
"integration","joint_bb","Null","species_equal","record_equal",2,114,12,114,12,11,11,114,-121.687285092255,-1.06743232537065,,,,,0.250964683479055,0.272626765787998,0.00246389235151016,70,0.971428571428571,0.889046048398028,70,"full_design_records"
"integration","joint_bb","Null","species_equal","species_equal",2,114,12,114,12,11,11,114,-123.531789386074,-1.08361218759714,,,,,0.247126159882214,0.268020117601092,0.011722760406752,70,0.975757575757576,0.889440136817298,70,"full_design_records"
"integration","joint_bb","M1","record_equal","record_equal",2,114,12,114,12,11,11,114,-127.381564868154,-1.11738214796626,,,,,0.251442470790342,0.272914867639166,0.00573006457199545,70,0.985714285714286,0.958344112835353,70,"full_design_records"
"integration","joint_bb","M1","record_equal","species_equal",2,114,12,114,12,11,11,114,-128.89208653196,-1.13063233799965,,,,,0.247588205819059,0.268294179164126,0.0145990808052648,70,0.990909090909091,0.958543260643212,70,"full_design_records"
"integration","joint_bb","M1","species_equal","record_equal",2,114,12,114,12,11,11,114,-126.777014800008,-1.11207907719306,,,,,0.250935166129887,0.272473205732126,0.00194944285400231,70,1,0.952932828625218,70,"full_design_records"
