"Case","Mode","Stan","Reference","AbsError","ScaledError"
"grid_146","a_b",-157.410123137824,-157.410123137825,1.4210854715202e-13,9.02791664978199e-16
"grid_147","a_b",-0.693147180559806,-0.693147180559943,1.37112543541207e-13,1.37112543541207e-13
"grid_148","a_b",-3.48189010266369,-3.4818901026637,1.68753899743024e-14,4.84661763488527e-15
"grid_149","a_b",-3.03312417812787,-3.03312417812784,2.62012633811537e-14,8.63837477215526e-15
"grid_150","a_b",-2.98922267268136,-2.98922267268135,6.66133814775094e-15,2.22845163347288e-15
"grid_151","a_b",-3.66636453939716,-3.6663645393972,4.13002965160558e-14,1.12646454198049e-14
"grid_152","a_b",-9.9041663706475,-9.9041663706475,3.5527136788005e-15,3.58709006477265e-16
"grid_153","a_b",-26.92709346749,-26.92709346749,3.5527136788005e-15,1.31938253309434e-16
"grid_154","a_b",-112.712761412296,-112.712761412296,0,0
"grid_155","a_b",-3.25966493984953,-3.25966493984953,1.33226762955019e-15,4.08713059205308e-16
"grid_156","a_b",-2.33806299736546,-2.33806299736546,2.22044604925031e-15,9.49694705297643e-16
"grid_157","a_b",-1.86403510162054,-1.86403510162054,1.11022302462516e-15,5.9560199465126e-16
"grid_158","a_b",-2.26537028064009,-2.26537028064009,0,0
"grid_159","a_b",-8.19826376562612,-8.19826376562612,3.5527136788005e-15,4.33349521357974e-16
"grid_160","a_b",-25.0269735767581,-25.0269735767581,0,0
"grid_161","a_b",-110.575900157094,-110.575900157094,0,0
"grid_162","a_b",-4.38832700250899,-4.38832700250899,0,0
"grid_163","a_b",-3.03658661721958,-3.03658661721958,8.88178419700125e-16,2.92492371093099e-16
"grid_164","a_b",-1.6094379124341,-1.6094379124341,4.44089209850063e-16,2.75928140140818e-16
"grid_165","a_b",-0.86175519922614,-0.861755199226141,8.88178419700125e-16,8.88178419700125e-16
"grid_166","a_b",-5.26802927250448,-5.26802927250448,0,0
"grid_167","a_b",-21.0721031315653,-21.0721031315653,0,0
"grid_168","a_b",-105.360515657826,-105.360515657826,0,0
"grid_169","a_b",-10.2499225396879,-10.2499225396879,1.77635683940025e-15,1.7330441596238e-16
"grid_170","a_b",-8.61897293687351,-8.61897293687351,1.77635683940025e-15,2.06098435673313e-16
"grid_171","a_b",-6.02398773881354,-6.02398773881354,8.88178419700125e-16,1.47440276808242e-16
"grid_172","a_b",-2.32362754054983,-2.32362754054983,1.77635683940025e-15,7.64475721001275e-16
"grid_173","a_b",-1.0177936993479,-1.01779369934789,4.88498130835069e-15,4.79957904188297e-15
"grid_174","a_b",-12.0309029732525,-12.0309029732525,5.32907051820075e-15,4.42948507692941e-16
"grid_175","a_b",-90.0716193488078,-90.0716193488078,2.8421709430404e-14,3.15545669500392e-16
"grid_176","a_b",-66.5534653949751,-66.5534653949751,0,0
"grid_177","a_b",-64.5752328636835,-64.5752328636835,1.4210854715202e-14,2.20066642968222e-16
"grid_178","a_b",-60.1986402162968,-60.1986402162968,0,0
"grid_179","a_b",-48.9271708013552,-48.9271708013552,7.105427357601e-15,1.45224570340458e-16
"grid_180","a_b",-11.0715914237912,-11.0715914237913,1.24344978758018e-14,1.12309941722396e-15
"grid_181","a_b",-0.000152216309616083,-0.000152216309616118,3.53720958773396e-17,3.53720958773396e-17
"grid_182","a_b",-22.4992793336177,-22.4992793336177,2.8421709430404e-14,1.26322754649022e-15
"grid_183","a_b",-248.460138502024,-248.460138502024,2.8421709430404e-14,1.14391425529099e-16
"grid_184","a_b",-246.27403955178,-246.27403955178,0,0
"grid_185","a_b",-240.794560865187,-240.794560865187,0,0
"grid_186","a_b",-224.147869220627,-224.147869220627,0,0
"grid_187","a_b",-137.435586440419,-137.435586440419,0,0
"grid_188","a_b",-37.8823431324666,-37.8823431324666,7.105427357601e-15,1.87565677570545e-16
"grid_189","a_b",-7.17106857734005e-13,-7.1710685773396e-13,4.50344913572571e-26,4.50344913572571e-26
"grid_190","a_b",-1213.16564007875,-1213.16564007875,2.27373675443232e-13,1.87421789681145e-16
"grid_191","a_b",-1210.73815473423,-1210.73815473423,2.27373675443232e-13,1.87797563456769e-16
"grid_192","a_b",-1203.97280432594,-1203.97280432594,0,0
"grid_193","a_b",-1180.9348384789,-1180.9348384789,2.27373675443232e-13,1.92537020701413e-16
"grid_194","a_b",-1026.30914613031,-1026.30914613031,2.27373675443232e-13,2.21545015262255e-16
"grid_195","a_b",-739.457795742163,-739.457795742163,1.13686837721616e-13,1.53743510956583e-16
"grid_196","a_b",-178.159216599537,-178.159216599537,2.8421709430404e-14,1.59529829401359e-16
"grid_197","a_b",-2.55421555219908,-2.55421555219908,0,0
"grid_198","a_b",-2.07611717009,-2.07611717009,3.5527136788005e-15,1.71122985252633e-15
"grid_199","a_b",-1.87767117868944,-1.87767117868944,6.66133814775094e-16,3.54765958137588e-16
"grid_200","a_b",-1.82728006580116,-1.82728006580115,5.32907051820075e-15,2.91639503869062e-15
"grid_201","a_b",-2.14687317366057,-2.14687317366057,4.44089209850063e-16,2.06853956395039e-16
"grid_202","a_b",-2.79912101608438,-2.79912101608438,3.10862446895044e-15,1.11057165841976e-15
"grid_203","a_b",-4.46339485895792,-4.46339485895793,2.66453525910038e-15,5.96975025356029e-16
"grid_204","a_b",-2.79109048739262,-2.79109048739262,4.44089209850063e-16,1.59109570920763e-16
"grid_205","a_b",-1.8399600265563,-1.8399600265563,1.11022302462516e-15,6.03395187178641e-16
"grid_206","a_b",-1.2103543615435,-1.2103543615435,8.88178419700125e-16,7.33816845644677e-16
"grid_207","a_b",-0.879573836201001,-0.879573836201001,2.22044604925031e-16,2.22044604925031e-16
"grid_208","a_b",-0.913675645187394,-0.913675645187393,9.99200722162641e-16,9.99200722162641e-16
"grid_209","a_b",-1.44494841361737,-1.44494841361737,6.66133814775094e-16,4.61008717333689e-16
"grid_210","a_b",-2.94937550392244,-2.94937550392243,8.88178419700125e-15,3.01141180063007e-15
"grid_211","a_b",-5.98693282645002,-5.98693282645002,0,0
"grid_212","a_b",-4.60455654780473,-4.60455654780473,0,0
"grid_213","a_b",-3.01593498087151,-3.01593498087151,4.44089209850063e-16,1.47247607347866e-16
"grid_214","a_b",-1.50855667751984,-1.50855667751984,2.22044604925031e-16,1.47190097815937e-16
"grid_215","a_b",-0.134376717902347,-0.134376717902347,2.77555756156289e-16,2.77555756156289e-16
"grid_216","a_b",-0.200142885341061,-0.200142885341061,2.77555756156289e-17,2.77555756156289e-17
"grid_217","a_b",-1.00050033358354,-1.00050033358353,8.88178419700125e-16,8.87734256438375e-16
"grid_218","a_b",-19.4409157156089,-19.4409157156089,0,0
"grid_219","a_b",-17.772490503579,-17.772490503579,3.5527136788005e-15,1.99899596406315e-16
"grid_220","a_b",-14.97866137097,-14.97866137097,0,0
"grid_221","a_b",-10.3122920229433,-10.3122920229433,0,0
"grid_222","a_b",-2.0245848395315,-2.02458483953151,1.06581410364015e-14,5.26435880991177e-15
"grid_223","a_b",-0.0233984704239154,-0.0233984704239153,8.32667268468867e-17,8.32667268468867e-17
"grid_224","a_b",-0.00370516978535302,-0.003705169785353,1.51788304147971e-17,1.51788304147971e-17
"grid_225","a_b",-156.424641469497,-156.424641469497,2.8421709430404e-14,1.81695857912171e-16
"grid_226","a_b",-154.401688884905,-154.401688884905,2.8421709430404e-14,1.84076415456766e-16
"grid_227","a_b",-149.7866136777,-149.7866136777,0,0
"grid_228","a_b",-137.323363396358,-137.323363396358,0,0
"grid_229","a_b",-86.1575103173011,-86.1575103173012,2.8421709430404e-14,3.29880811617379e-16
"grid_230","a_b",-37.6533445763654,-37.6533445763654,1.4210854715202e-14,3.77412813525256e-16
"grid_231","a_b",-0.422371961385051,-0.42237196138503,2.17048601314218e-14,2.17048601314218e-14
"grid_232","a_b",-607.100374280283,-607.100374280283,0,0
"grid_233","a_b",-604.868747393361,-604.868747393361,0,0
"grid_234","a_b",-599.146454710798,-599.146454710798,0,0
"grid_235","a_b",-581.285735475608,-581.285735475608,0,0
"grid_236","a_b",-480.920877058187,-480.920877058187,5.6843418860808e-14,1.18197029017583e-16
"grid_237","a_b",-335.95675931329,-335.956759313291,1.13686837721616e-13,3.38397232887937e-16
"grid_238","a_b",-113.072181260169,-113.072181260169,1.4210854715202e-13,1.25679495671036e-15
"grid_239","a_b",-3005.21486534015,-3005.21486534015,0,0
"grid_240","a_b",-3002.7416290322,-3002.7416290322,4.54747350886464e-13,1.5144404916151e-16
"grid_241","a_b",-2995.73227355399,-2995.73227355399,0,0
"grid_242","a_b",-2971.47428408569,-2971.47428408569,0,0
"grid_243","a_b",-2803.12352737475,-2803.12352737475,4.54747350886464e-13,1.62228794573443e-16
"grid_244","a_b",-2470.52479728748,-2470.52479728748,4.54747350886464e-13,1.8406913032638e-16
"grid_245","a_b",-1665.34547820149,-1665.34547820149,0,0
"tiny_u_shape","a_b",-17.6334857532637,-17.6334857532637,0,0
"tiny_left_shape","a_b",-17.0208932910963,-17.0208932910963,3.5527136788005e-15,2.08726628975398e-16
"tiny_right_shape","a_b",-17.1810007274786,-17.1810007274786,3.19744231092045e-14,1.8610338021851e-15
"beta_1_100_upper","log_a_log_b",-51.0825623886738,-51.0825623886737,2.1316282072803e-14,4.17290775482503e-16
"beta_200_1_lower","log_a_log_b",-71.3349887877465,-71.3349887877465,2.8421709430404e-14,3.98425932538818e-16
"underflow_upper","log_a_log_b",-1021.65124753198,-1021.65124753198,1.13686837721616e-13,1.11277540154971e-16
"underflow_lower","log_a_log_b",-713.349887877465,-713.349887877465,1.13686837721616e-13,1.59370373015527e-16
"near_zero","log_a_log_b",-4.68135387784411,-4.68135387784411,8.88178419700125e-16,1.89726827511095e-16
"near_one","log_a_log_b",-4.68135387633668,-4.68135387633668,8.88178419700125e-16,1.89726827572188e-16
"narrow_middle","log_a_log_b",-27.731964914286,-27.731964914286,7.105427357601e-15,2.5621795568985e-16
"narrow_tail","log_a_log_b",-237.327322129468,-237.327322129468,5.6843418860808e-14,2.39514853792512e-16
"u_shaped","log_a_log_b",-0.276760542291714,-0.276760542291714,1.11022302462516e-16,1.11022302462516e-16
"wide_center","log_a_log_b",-0.00107385637742568,-0.0010738563774257,1.75640751942652e-17,1.75640751942652e-17
"skew_left","log_a_log_b",-50.661788160339,-50.661788160339,2.1316282072803e-14,4.20756606642847e-16
"skew_right","log_a_log_b",-299.067366239022,-299.067366239022,1.70530256582424e-13,5.70206835760649e-16
"concentrated_center","log_a_log_b",-0.224150341411233,-0.2241503414112,3.24185123190546e-14,3.24185123190546e-14
"full_support","log_a_log_b",0,0,0,0
"left_boundary","log_a_log_b",-0.00220977769053513,-0.00220977769053513,0,0
"right_boundary","log_a_log_b",-0.00220977769053513,-0.00220977769053513,0,0
"cf_switch_left","log_a_log_b",-5.91022760927239,-5.91022760927284,4.44977388269763e-13,7.52893826917286e-14
"cf_switch_right","log_a_log_b",-5.91022761164618,-5.91022761164612,5.6843418860808e-14,9.61780536993158e-15
"actual_chain_left_tail","record_chain",-0.29329910979218,-0.29329910979218,1.11022302462516e-16,1.11022302462516e-16
"actual_chain_right_tail","record_chain",-37.1798602333756,-37.1798602333756,7.105427357601e-15,1.91109576878468e-16
"actual_chain_endpoint","record_chain",-0.0276960650822317,-0.0276960650822314,2.22044604925031e-16,2.22044604925031e-16
"actual_chain_narrow","record_chain",-21.5984923858451,-21.5984923858451,3.5527136788005e-15,1.64488965958051e-16
"actual_chain_u_shape","record_chain",-0.735358603805123,-0.735358603805123,0,0
