"Route","Model","TrainWeighting","EvalWeighting","Subset","Statistic","Records","Species","Observed","PPC_Lower95","PPC_Median","PPC_Upper95","Status","Scope"
"binary","M2","species_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.578528414580589,0.692119345630215,0.795277146464647,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.677631578947368,0.763157894736842,0.842105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","record_equal","classified","SD",152,50,0.425144590036934,0.364642275277658,0.425144590036934,0.467383164181879,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.157894736842105,0.236842105263158,0.322368421052632,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","record_equal","classified","OneFraction",152,50,0.763157894736842,0.677631578947368,0.763157894736842,0.842105263157895,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","species_equal","classified","Mean",152,50,0.694444444444444,0.599677887571366,0.711408212560387,0.816797101449275,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","species_equal","classified","SD",152,50,0.460642331993806,0.386832775903668,0.453107677778718,0.489963586466523,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","species_equal","classified","ZeroFraction",152,50,0.305555555555556,0.183202898550725,0.288591787439614,0.400322112428634,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","record_equal","species_equal","classified","OneFraction",152,50,0.694444444444444,0.599677887571366,0.711408212560387,0.816797101449275,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","record_equal","classified","Mean",152,50,0.763157894736842,0.638157894736842,0.736842105263158,0.822368421052632,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","record_equal","classified","SD",152,50,0.425144590036934,0.382202303902048,0.440347382386356,0.480533449534872,"OK","training_only_same_records_types_weights; intervals_not_imputed"
"binary","M3","species_equal","record_equal","classified","ZeroFraction",152,50,0.236842105263158,0.177631578947368,0.263157894736842,0.361842105263158,"OK","training_only_same_records_types_weights; intervals_not_imputed"
