"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.578467680095244,0.8,1,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
0.258945436228132,1,1,"record_equal","fivefold","M2","record_equal",1,0.686666666666667
Inf,0,0,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
0.83919603447075,0,0.166666666666667,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
0.828590963990669,0.166666666666667,0.916666666666667,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
0.673521908186112,0.583333333333333,0.916666666666667,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
0.659179278990481,0.583333333333333,1,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
0.428249965768622,1,1,"record_equal","fivefold","M2","record_equal",2,0.888888888888889
Inf,0,0,"record_equal","fivefold","M2","record_equal",3,0.74812030075188
0.830550361728517,0.142857142857143,0.210526315789474,"record_equal","fivefold","M2","record_equal",3,0.74812030075188
0.820750555774922,0.428571428571429,0.947368421052632,"record_equal","fivefold","M2","record_equal",3,0.74812030075188
0.776745500723599,0.571428571428571,1,"record_equal","fivefold","M2","record_equal",3,0.74812030075188
0.418543158635161,1,1,"record_equal","fivefold","M2","record_equal",3,0.74812030075188
Inf,0,0,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
0.830429282629188,0.833333333333333,0.240740740740741,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
0.762065370476649,0.833333333333333,0.444444444444444,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
0.746538959022408,0.833333333333333,0.981481481481482,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
0.495786159847799,1,0.981481481481482,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
0.30020176855038,1,1,"record_equal","fivefold","M2","record_equal",4,0.263888888888889
Inf,0,0,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
0.831264308228236,0.333333333333333,0.4375,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
0.808377978659621,0.333333333333333,0.6875,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
0.571185115583862,0.333333333333333,0.875,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
0.560048028678471,0.833333333333333,1,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
0.268287841654408,1,1,"record_equal","fivefold","M2","record_equal",5,0.708333333333333
Inf,0,0,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.803626646535765,0,0.133333333333333,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.774427110465046,0.4,0.6,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.698780431654894,0.6,0.8,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.668850585304981,0.6,1,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.534059068884739,0.8,1,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
0.22642710449043,1,1,"record_equal","fivefold","M2","species_equal",1,0.686666666666667
Inf,0,0,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
0.825648287197222,0.166666666666667,0.75,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
0.808753835472609,0.166666666666667,0.916666666666667,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
0.604447815943664,0.166666666666667,1,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
0.575725061267681,0.583333333333333,1,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
0.297585022899801,1,1,"record_equal","fivefold","M2","species_equal",2,0.895833333333333
Inf,0,0,"record_equal","fivefold","M2","species_equal",3,0.74812030075188
0.840415397222724,0.142857142857143,0.210526315789474,"record_equal","fivefold","M2","species_equal",3,0.74812030075188
0.772996617542622,0.428571428571429,0.947368421052632,"record_equal","fivefold","M2","species_equal",3,0.74812030075188
0.741440370626234,0.571428571428571,1,"record_equal","fivefold","M2","species_equal",3,0.74812030075188
0.387350124725911,1,1,"record_equal","fivefold","M2","species_equal",3,0.74812030075188
Inf,0,0,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
0.827940357994632,0.833333333333333,0.240740740740741,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
0.760940772433862,0.833333333333333,0.444444444444444,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
0.75561447299881,0.833333333333333,0.981481481481482,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
0.513450168503424,1,0.981481481481482,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
0.288645746113196,1,1,"record_equal","fivefold","M2","species_equal",4,0.263888888888889
Inf,0,0,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
0.784750094058779,0.333333333333333,0.4375,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
0.78393265460228,0.333333333333333,0.6875,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
0.479080848770806,0.333333333333333,0.875,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
0.470228534701615,0.833333333333333,1,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
0.225165591605395,1,1,"record_equal","fivefold","M2","species_equal",5,0.708333333333333
Inf,0,0,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.905388394357473,0,0.0666666666666667,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.862436824656183,0,0.133333333333333,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.850423404530479,0.4,0.466666666666667,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
0.83030638238257,0.4,0.533333333333333,"record_equal","fivefold","M3","record_equal",1,0.633333333333333
