"Design","Model","TrainWeighting","EvalWeighting","Bin","RecordsUsed","SpeciesUsed","WeightSum","MeanPredicted","ObservedRate","CalibrationLower","CalibrationUpper","BootstrapValid","IntervalStatus"
"tenfold","M3","species_equal","record_equal","[0.2,0.4)",6,4,6,0.314823101221752,0,0,0,2000,"DEGENERATE_INTERVAL"
"tenfold","M3","species_equal","record_equal","[0.4,0.6)",15,8,15,0.558897703569752,0.6,0.222222222222222,0.9375,2000,"LIMITED_SPECIES"
"tenfold","M3","species_equal","record_equal","[0.6,0.8)",51,18,51,0.721404364211938,0.803921568627451,0.606025369978858,0.954545454545455,2000,"OK"
"tenfold","M3","species_equal","record_equal","[0.8,1]",76,19,76,0.831778578051844,0.868421052631579,0.727272727272727,0.947916666666667,2000,"OK"
"fivefold","Null","record_equal","species_equal","[0.6,0.8)",128,40,121.6,0.740476465498483,0.743055555555555,0.624305555555556,0.855555555555556,2000,"OK"
"fivefold","Null","record_equal","species_equal","[0.8,1]",24,10,30.4,0.808041890443593,0.5,0.2,0.8,2000,"OK"
"fivefold","Null","species_equal","species_equal","[0.6,0.8)",152,50,152,0.691429355565966,0.694444444444444,0.568333333333333,0.810013888888889,2000,"OK"
"fivefold","M1","record_equal","species_equal","[0.2,0.4)",11,6,18.24,0.310825867605453,0.166666666666667,0,0.5,2000,"LIMITED_SPECIES"
"fivefold","M1","record_equal","species_equal","[0.4,0.6)",5,3,9.12,0.501847953186118,0.666666666666667,0,1,2000,"LIMITED_SPECIES"
"fivefold","M1","record_equal","species_equal","[0.6,0.8)",83,18,54.72,0.736121551156677,0.604938271604938,0.402777777777778,0.805555555555556,2000,"OK"
"fivefold","M1","record_equal","species_equal","[0.8,1]",53,23,69.92,0.852434493228833,0.905797101449275,0.800724637681159,0.985507246376812,2000,"OK"
"fivefold","M1","species_equal","species_equal","[0.2,0.4)",14,7,21.28,0.2750402404279,0.285714285714286,0,0.571428571428571,2000,"LIMITED_SPECIES"
"fivefold","M1","species_equal","species_equal","[0.4,0.6)",8,5,15.2,0.515210497965696,0.4,0,0.8,2000,"LIMITED_SPECIES"
"fivefold","M1","species_equal","species_equal","[0.6,0.8)",93,22,66.88,0.745546276733516,0.741161616161616,0.574463383838384,0.882575757575758,2000,"OK"
"fivefold","M1","species_equal","species_equal","[0.8,1]",37,16,48.64,0.845471650253106,0.901041666666667,0.755208333333333,1,2000,"OK"
"fivefold","M2","record_equal","species_equal","[0.2,0.4)",3,3,9.12,0.275811682144307,0.333333333333333,0,1,2000,"LIMITED_SPECIES"
"fivefold","M2","record_equal","species_equal","[0.4,0.6)",18,8,24.32,0.505072262882031,0.25,0,0.625,2000,"LIMITED_SPECIES"
"fivefold","M2","record_equal","species_equal","[0.6,0.8)",55,11,33.44,0.725341284072797,0.75,0.5,0.954545454545455,2000,"OK"
"fivefold","M2","record_equal","species_equal","[0.8,1]",76,28,85.12,0.824850654537613,0.838293650793651,0.71031746031746,0.939508928571428,2000,"OK"
"fivefold","M2","species_equal","species_equal","[0.2,0.4)",11,6,18.24,0.287126435455756,0.166666666666667,0,0.5,2000,"LIMITED_SPECIES"
"fivefold","M2","species_equal","species_equal","[0.4,0.6)",15,7,21.28,0.516928182585366,0.285714285714286,0,0.714285714285714,2000,"LIMITED_SPECIES"
"fivefold","M2","species_equal","species_equal","[0.6,0.8)",88,24,72.96,0.756902401813139,0.909722222222222,0.847222222222222,0.965277777777778,2000,"OK"
"fivefold","M2","species_equal","species_equal","[0.8,1]",38,13,39.52,0.824897503306546,0.760683760683761,0.521367521367521,0.982905982905983,2000,"OK"
"fivefold","M3","record_equal","species_equal","[0.2,0.4)",2,2,6.08,0.275376252048807,0,0,0,2000,"DEGENERATE_INTERVAL"
"fivefold","M3","record_equal","species_equal","[0.4,0.6)",13,8,24.32,0.495537540887329,0.375,0.125,0.75,2000,"LIMITED_SPECIES"
"fivefold","M3","record_equal","species_equal","[0.6,0.8)",81,17,51.68,0.710929013428624,0.743464052287582,0.529411764705882,0.926470588235294,2000,"OK"
"fivefold","M3","record_equal","species_equal","[0.8,1]",56,23,69.92,0.845169089911389,0.829710144927536,0.699275362318841,0.934782608695652,2000,"OK"
