"Scope","Design","Fold","Route","TrainWeighting","EvalWeighting","Family","Model","Reference","Difference","SE_approx","CI95_lower","CI95_upper","Z_approx","P_approx","IntervalStatus","UncertaintyScope","RecordsUsed","SpeciesUsed","BootstrapReplicates","P_BH"
"fold","fivefold",3,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",-0.0846149659011523,0.129447283771606,-0.336948068266186,0.175242013132906,-0.653663510239776,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",23,10,2000,
"fold","fivefold",4,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",0.0572705483275563,0.0734036215709457,-0.0772934179635187,0.206958547394946,0.780214206082509,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",4,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",0.0609150132980608,0.073026421027445,-0.0877850293619136,0.203721075764789,0.834150331359763,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",4,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",0.0067800261579894,0.0980517988814268,-0.183008385015862,0.208265666150525,0.0691473918412086,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",40,10,2000,
"fold","fivefold",5,"joint_bb","species_equal","record_equal","model_vs_null","M1","Null",0.190008498876668,0.048074796932701,0.106047563314717,0.301353459520025,3.9523515646391,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",5,"joint_bb","species_equal","record_equal","model_vs_null","M2","Null",0.201400138722874,0.050364343482669,0.121906161781147,0.324302286863018,3.99886357681161,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","fivefold",5,"joint_bb","species_equal","record_equal","model_vs_null","M3","Null",0.231739905413307,0.066902426978859,0.148607207706969,0.414883095044892,3.46384900934217,,"CONDITIONAL_OOF_APPROXIMATION","fixed_OOF_predictions_species_bootstrap_no_refitting",28,10,2000,
"fold","tenfold",1,"binary","record_equal","record_equal","model_vs_null","M1","Null",-0.0210816849266943,0.156022793829475,-0.299820927804645,0.288865860363074,-0.135119263084953,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",1,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.0217637846934771,0.114570591249338,-0.171086065922786,0.299768207279782,0.189959608797977,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",1,"binary","record_equal","record_equal","model_vs_null","M3","Null",-0.0177949026298578,0.102497778318928,-0.176332484653887,0.20647772143789,-0.173612569186503,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",2,"binary","record_equal","record_equal","model_vs_null","M1","Null",0.0798998768542386,0.1500952039797,-0.266576811108394,0.29653300327174,0.53232798074644,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
"fold","tenfold",2,"binary","record_equal","record_equal","model_vs_null","M2","Null",0.121864990634301,0.200974307652011,-0.30768287765257,0.393319085489146,0.606370993676025,,"LIMITED_SPECIES","fixed_OOF_predictions_species_bootstrap_no_refitting",10,5,2000,
