id,a,b,lo,hi,Group,ReferenceLogP,ReferenceMethod,PrecisionDigits
grid_83,200,50,0.050000000000000003,0.14999999999999999,inherited_266,-266.6174626988112718926854609237175534193500228493873921338741600999792024518592592373346149624587641,high_precision_lower_interval,100
grid_84,1000,50,0.050000000000000003,0.14999999999999999,inherited_266,-1709.955200055247288654693910537644594387389177806667204463192154468487820109530374761376510839103937,high_precision_lower_interval,100
grid_85,0.050000000000000003,200,0.050000000000000003,0.14999999999999999,inherited_266,-15.49492461777768769761058255679120610310430580973139954086327835730750232793082912985170885917004445,high_precision_complement_interval,100
grid_86,0.20000000000000001,200,0.050000000000000003,0.14999999999999999,inherited_266,-13.69276044026329055214985167860501243240794700997976216940097708309411056135419907912242997209505774,high_precision_complement_interval,100
grid_87,1,200,0.050000000000000003,0.14999999999999999,inherited_266,-10.25865887772841247181350370378110622568374081839996915540767746440715947878358689755094501878328976,closed_a1,100
grid_88,5,200,0.050000000000000003,0.14999999999999999,inherited_266,-3.766863756805117936742332162944018812417539613830724614966537657937948023320547306980365482367883363,high_precision_complement_interval,100
grid_89,50,200,0.050000000000000003,0.14999999999999999,inherited_266,-4.003753572433778541887611074946116681966220123032478254217905101368399107989810835864941561463297366,high_precision_lower_interval,100
grid_90,200,200,0.050000000000000003,0.14999999999999999,inherited_266,-138.2301041580007254874192624488668257633451148238546196035694999109462276510039019638578798248901175,high_precision_lower_interval,100
grid_91,1000,200,0.050000000000000003,0.14999999999999999,inherited_266,-1394.021222889730048552915407167451506943348481388661407000289634113882628382632708161448201060311595,high_precision_lower_interval,100
grid_92,0.050000000000000003,1000,0.050000000000000003,0.14999999999999999,inherited_266,-57.99617228149915043511053068897576639641043068137637663936738726877171999239382723311289688001466596,high_precision_complement_interval,100
grid_93,0.20000000000000001,1000,0.050000000000000003,0.14999999999999999,inherited_266,-55.96185782810718812013494361663932227063241020127904283033457213509773165359621355140805190989367994,high_precision_complement_interval,100
grid_94,1,1000,0.050000000000000003,0.14999999999999999,inherited_266,-51.29329438755053634783568274194129645361028467069764239253300312252856565576667548685677792612226025,closed_a1,100
grid_95,5,1000,0.050000000000000003,0.14999999999999999,inherited_266,-38.73593071303277422008108866575138779643514955944349970556690455918044640529285017360858085026588514,high_precision_complement_interval,100
grid_96,50,1000,0.050000000000000003,0.14999999999999999,inherited_266,-1.065632675171340810326608131474384198257668556134157277536671573752433375356780352498848546498682485,high_precision_complement_interval,100
grid_97,200,1000,0.050000000000000003,0.14999999999999999,inherited_266,-2.855234476410573548177522173555478821805204676835024287153973998115439949021749456431553496863586619,high_precision_lower_interval,100
grid_98,1000,1000,0.050000000000000003,0.14999999999999999,inherited_266,-677.7079122978928690548203089493330953717629495787061471183097659749457741840332046396407172579168584,high_precision_lower_interval,100
grid_99,0.050000000000000003,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-4.657762953203501374729491361139125736066873205841525785181829134034988084189877991381407977651255278,high_precision_lower_interval,100
grid_100,0.20000000000000001,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-4.2977856060765713014026989845661953640319267537362407165700990653927947506358614219629598139071409,high_precision_lower_interval,100
grid_101,1,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-4.727811486326238547780735979458139690249896232719620510494055250821400891264481535199143416182279002,closed_a1,100
grid_102,5,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-7.782410064175910722284513270223663111075891360382969660740597618177657354230165259128646102031481548,high_precision_lower_interval,100
grid_103,50,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-40.70278728310443053803571152941481007209343594867163682727742678129297915369411907309137317060778129,high_precision_lower_interval,100
grid_104,200,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-145.9780382136329902595086721776513443671550901601460467956092096131387912756568336436266862392932884,high_precision_lower_interval,100
grid_105,1000,0.050000000000000003,0.40000000000000002,0.5,inherited_266,-702.0209088663513098047654929537118119220943667202733052517383868638239334046931774243062955668878374,high_precision_lower_interval,100
grid_106,0.050000000000000003,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-4.267401611121514260197780965351316560286367685176830749034415324311433369461180712828999997714484411,high_precision_complement_interval,100
grid_107,0.20000000000000001,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-3.434155046571815343682192329704537466287796784743383794202189041980526357292846732776818919535447887,high_precision_lower_interval,100
grid_108,1,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-3.431763146845269570568923808526625957484436110069968188344869824354729600757633332163910953120223128,closed_a1,100
grid_109,5,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-6.199814564828712990836286151095863689157577912125351920028597616346363671402036974255748761830091283,high_precision_lower_interval,100
grid_110,50,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-38.77342544919814740861888474748598261049513371662415976938313619593780084038450120328116402525858848,high_precision_lower_interval,100
grid_111,200,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-143.8419891989852006986535240107689373714017147878026238269573928222961893610379166201921234472058039,high_precision_lower_interval,100
grid_112,1000,0.20000000000000001,0.40000000000000002,0.5,inherited_266,-699.643808956600780358748667565764610332007131814455276247145960666213361676094988873352309377329975,high_precision_lower_interval,100
grid_113,0.050000000000000003,1,0.40000000000000002,0.5,inherited_266,-4.535903021354271739072134954305511404270790066914336970484750476934349545704205271698989632605203175,closed_b1,100
grid_114,0.20000000000000001,1,0.40000000000000002,0.5,inherited_266,-3.270238703406909248351726658793233454396302620386944944859474259061560689252416740564091533765025911,closed_b1,100
grid_115,1,1,0.40000000000000002,0.5,inherited_266,-2.302585092994045906062596379715696944230723263415403807301838866433830112230227688253833069045694694,closed_a1,100
grid_116,5,1,0.40000000000000002,0.5,inherited_266,-3.862756764125228138455119575734155684822281163254748248966680824312169873237649901190412105958184964,closed_b1,100
grid_117,50,1,0.40000000000000002,0.5,inherited_266,-34.65737330057604529844542857491873689574991132327480089627943175115949739886677567956883718865780712,closed_b1,100
grid_118,200,1,0.40000000000000002,0.5,inherited_266,-138.6294361119890618834879194473241240053747844358866358918229058504159333693856223607445879091681657,closed_b1,100
grid_119,1000,1,0.40000000000000002,0.5,inherited_266,-693.1471805599453094172321214581765680755001343602552541206800094933936219696947156058633269964186877,closed_b1,100
grid_120,0.050000000000000003,5,0.40000000000000002,0.5,inherited_266,-6.795748907821740897931580460239393943144549288919191790232991055775030540984863051418045788041689131,high_precision_complement_interval,100
grid_121,0.20000000000000001,5,0.40000000000000002,0.5,inherited_266,-5.24355067319384939399284084674875040650421311463183171726578332925420100392398468398323563584229289,high_precision_complement_interval,100
grid_122,1,5,0.40000000000000002,0.5,inherited_266,-3.06808793574613171546081511278485152751835847425459691887499312274765031390704731206060775773753005,closed_a1,100
grid_123,5,5,0.40000000000000002,0.5,inherited_266,-1.454863093994912745260819753984269629425381122175372973758797120205500787744097404281977125611259323,high_precision_lower_interval,100
grid_124,50,5,0.40000000000000002,0.5,inherited_266,-24.68582992211884431292790344181930502829427903964299477527383191103757784404758594660547465984073637,high_precision_lower_interval,100
grid_125,200,5,0.40000000000000002,0.5,inherited_266,-123.3171824038693581172049479696141026972418956672808594688734193566137314610201703180695603570070355,high_precision_lower_interval,100
grid_126,1000,5,0.40000000000000002,0.5,inherited_266,-671.4528169820018347307639604895923758053382537158402748628351524509158060862857630062222948694137327,high_precision_lower_interval,100
grid_127,0.050000000000000003,50,0.40000000000000002,0.5,inherited_266,-31.38351726623705115358582065316735904097545430721763885230663888249049092449664640521054117001114749,high_precision_complement_interval,100
grid_128,0.20000000000000001,50,0.40000000000000002,0.5,inherited_266,-29.48627665162610785890722360307105770501967445951533826675746706388724739796048055751511077746502831,high_precision_complement_interval,100
grid_129,1,50,0.40000000000000002,0.5,inherited_266,-25.54139107915643223020896560831284556720144120055215128826651717556213492478958899780232577168781621,closed_a1,100
grid_130,5,50,0.40000000000000002,0.5,inherited_266,-16.42159144410458273588003551925596032971991151107580327950683022830788483800418573382295386711625851,high_precision_complement_interval,100
grid_131,50,50,0.40000000000000002,0.5,inherited_266,-0.7379990385211720820568892300645815490341487326182929317051532097213031464202363623926123478566446655,high_precision_lower_interval,100
grid_132,200,50,0.40000000000000002,0.5,inherited_266,-51.59074346406984562176617939782576932088918941662420856842984970337086447570000922878517450999305956,high_precision_lower_interval,100
grid_133,1000,50,0.40000000000000002,0.5,inherited_266,-531.9417211293267700920491177508843495468753854618276777598958805060120088099256991696440756453764858,high_precision_lower_interval,100
grid_134,0.050000000000000003,200,0.40000000000000002,0.5,inherited_266,-109.304061703297688574783239517748719461070887291426800166342583493464806831594152445073461243616103,high_precision_complement_interval,100
grid_135,0.20000000000000001,200,0.40000000000000002,0.5,inherited_266,-107.2011194658271462367640980012393793387010350939354756973937152931800067111765602162969428877366553,high_precision_complement_interval,100
grid_136,1,200,0.40000000000000002,0.5,inherited_266,-102.1651247531981441883873895605208628801706865425940310332101418461828049199111999951667898684314551,closed_a1,100
grid_137,5,200,0.40000000000000002,0.5,inherited_266,-87.73537393260090300543530581457695537123996365744235213893464695041459959887907103155023528049749257,high_precision_complement_interval,100
grid_138,50,200,0.40000000000000002,0.5,inherited_266,-25.8901096593552007210819515643547984654737016562568358444631864764009578264244090367462586139336337,high_precision_complement_interval,100
grid_139,200,200,0.40000000000000002,0.5,inherited_266,-0.6932010048730044269051212674928073105019708524767952425352261358196790152721234751891990794981635508,high_precision_lower_interval,100
grid_140,1000,200,0.40000000000000002,0.5,inherited_266,-295.457868048466275778692313731924141098122072093613960929535903402577358640739684027139804655617359,high_precision_lower_interval,100
grid_141,0.050000000000000003,1000,0.40000000000000002,0.5,inherited_266,-519.4878384877153811324603549476287959187445358462501405306352233386902162068670295681992212820119756,high_precision_complement_interval,100
grid_142,0.20000000000000001,1000,0.40000000000000002,0.5,inherited_266,-517.144135533733507970991220884329222199814281248402063053235554169355667453855129787234921017507402,high_precision_complement_interval,100
grid_143,1,1000,0.40000000000000002,0.5,inherited_266,-510.8256237659907202129482504755473004409244038236544457050685411714449429209215059460570716811699722,closed_a1,100
grid_144,5,1000,0.40000000000000002,0.5,inherited_266,-490.021831422666394800386248426245007894629956331321215579669233006238319785319124157935430031438348,high_precision_complement_interval,100
grid_145,50,1000,0.40000000000000002,0.5,inherited_266,-360.5282033726654852232807308682995930961089386304047266479461100058665125898628410786636449045880938,high_precision_complement_interval,100
grid_146,200,1000,0.40000000000000002,0.5,inherited_266,-157.4101231378246206216308870305140113341722399920304040286853067628482343233224233583354681622644738,high_precision_complement_interval,100
grid_147,1000,1000,0.40000000000000002,0.5,inherited_266,-0.693147180559945309581864348555562725896060163200057748134579940630797421166033372926601114019062561,high_precision_lower_interval,100
grid_148,0.050000000000000003,0.050000000000000003,0.69999999999999996,0.90000000000000002,inherited_266,-3.4818901026637011489131543002901974554769146386856323678015635727246778347645643736385892106481754,high_precision_complement_interval,100
grid_149,0.20000000000000001,0.050000000000000003,0.69999999999999996,0.90000000000000002,inherited_266,-3.033124178127843685840560844992804881259279632794481054537652882812823164448567698470394390703063242,high_precision_lower_interval,100
grid_150,1,0.050000000000000003,0.69999999999999996,0.90000000000000002,inherited_266,-2.98922267268135238435655493369000894977305745162974131204884931986239530451308203535222947248212404,closed_a1,100
grid_151,5,0.050000000000000003,0.69999999999999996,0.90000000000000002,inherited_266,-3.666364539397204083874807797849005187439354996381234603789077838684204798981709255892690433174948845,high_precision_lower_interval,100
grid_152,50,0.050000000000000003,0.69999999999999996,0.90000000000000002,inherited_266,-9.90416637064749551717243213497522849242005501405322796602922121991778509454724687989649167043144524,high_precision_lower_interval,100
