"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_59","inherited_266",1,0.2,0.05,0.15,-3.82699290850502,-3.82699290850502,-3.82699290850502,-3.82699290850502,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,3.82699290850502e-10,TRUE,TRUE,TRUE
"grid_60","inherited_266",5,0.2,0.05,0.15,-12.2101130929032,-12.2101130929032,-12.2101130929032,-12.2101130929032,0,0,0,0,1.22101130929032e-09,TRUE,TRUE,TRUE
"grid_61","inherited_266",50,0.2,0.05,0.15,-99.3840247145046,-99.3840247145046,-99.3840247145046,-99.3840247145046,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,0,9.93840247145046e-09,TRUE,TRUE,TRUE
"grid_62","inherited_266",200,0.2,0.05,0.15,-385.057801263679,-385.057801263679,-385.057801263679,-385.057801263679,0,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,3.85057801263679e-08,TRUE,TRUE,TRUE
"grid_63","inherited_266",1000,0.2,0.05,0.15,-1904.04045879658,-1904.04045879658,-1904.04045879658,-1904.04045879658,2.27373675443232e-13,0,0,2.27373675443232e-13,1.90404045879658e-07,TRUE,TRUE,TRUE
"grid_64","inherited_266",0.05,1,0.05,0.15,-3.02388003170935,-3.02388003170936,-3.02388003170935,-3.02388003170935,6.21724893790088e-15,8.88178419700125e-16,8.88178419700125e-16,7.105427357601e-15,3.02388003170935e-10,TRUE,TRUE,TRUE
"grid_65","inherited_266",0.2,1,0.05,0.15,-2.00266453773253,-2.00266453773253,-2.00266453773253,-2.00266453773253,1.77635683940025e-15,0,0,1.77635683940025e-15,2.00266453773253e-10,TRUE,TRUE,TRUE
"grid_66","inherited_266",1,1,0.05,0.15,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,4.44089209850063e-16,0,0,4.44089209850063e-16,2.30258509299405e-10,TRUE,TRUE,TRUE
"grid_67","inherited_266",5,1,0.05,0.15,-9.48972364161327,-9.48972364161327,-9.48972364161327,-9.48972364161327,1.77635683940025e-15,0,0,1.77635683940025e-15,9.48972364161327e-10,TRUE,TRUE,TRUE
"grid_68","inherited_266",50,1,0.05,0.15,-94.8559992442941,-94.8559992442941,-94.8559992442941,-94.8559992442941,0,0,0,0,9.48559992442941e-09,TRUE,TRUE,TRUE
"grid_69","inherited_266",200,1,0.05,0.15,-379.423996977176,-379.423996977176,-379.423996977176,-379.423996977176,0,0,0,0,3.79423996977176e-08,TRUE,TRUE,TRUE
"grid_70","inherited_266",1000,1,0.05,0.15,-1897.11998488588,-1897.11998488588,-1897.11998488588,-1897.11998488588,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,0,1.89711998488588e-07,TRUE,TRUE,TRUE
