"Case","Group","a","b","lo","hi","Reference","Stan","Audit","OldAudit","StanAbsError","AuditAbsError","OldAuditAbsError","StanAuditAbsDifference","Allowed","StanPass","AuditPass","PairPass"
"grid_212","inherited_266",0.2,1,0.95,0.999,-4.60455654780473,-4.60455654780473,-4.60455654780473,-4.60455654780473,8.88178419700125e-16,0,0,8.88178419700125e-16,4.60455654780473e-10,TRUE,TRUE,TRUE
"grid_213","inherited_266",1,1,0.95,0.999,-3.01593498087151,-3.01593498087151,-3.01593498087151,-3.01593498087151,4.44089209850063e-16,0,0,4.44089209850063e-16,3.01593498087151e-10,TRUE,TRUE,TRUE
"grid_214","inherited_266",5,1,0.95,0.999,-1.50855667751984,-1.50855667751984,-1.50855667751984,-1.50855667751984,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.50855667751984e-10,TRUE,TRUE,TRUE
"grid_215","inherited_266",50,1,0.95,0.999,-0.134376717902347,-0.134376717902347,-0.134376717902347,-0.134376717902347,1.94289029309402e-16,2.77555756156289e-17,2.77555756156289e-17,2.22044604925031e-16,1e-10,TRUE,TRUE,TRUE
"grid_216","inherited_266",200,1,0.95,0.999,-0.200142885341061,-0.200142885341061,-0.200142885341061,-0.200142885341061,2.77555756156289e-17,0,0,2.77555756156289e-17,1e-10,TRUE,TRUE,TRUE
"grid_217","inherited_266",1000,1,0.95,0.999,-1.00050033358353,-1.00050033358354,-1.00050033358353,-1.00050033358353,8.88178419700125e-16,0,0,8.88178419700125e-16,1.00050033358353e-10,TRUE,TRUE,TRUE
"grid_218","inherited_266",0.05,5,0.95,0.999,-19.4409157156089,-19.4409157156089,-19.4409157156089,-19.4409157156089,0,0,0,0,1.94409157156089e-09,TRUE,TRUE,TRUE
"grid_219","inherited_266",0.2,5,0.95,0.999,-17.772490503579,-17.772490503579,-17.772490503579,-17.772490503579,3.5527136788005e-15,0,0,3.5527136788005e-15,1.7772490503579e-09,TRUE,TRUE,TRUE
"grid_220","inherited_266",1,5,0.95,0.999,-14.97866137097,-14.97866137097,-14.97866137097,-14.97866137097,0,0,0,0,1.49786613709700e-09,TRUE,TRUE,TRUE
"grid_221","inherited_266",5,5,0.95,0.999,-10.3122920229433,-10.3122920229433,-10.3122920229433,-10.3122920229433,1.77635683940025e-15,1.77635683940025e-15,1.77635683940025e-15,0,1.03122920229433e-09,TRUE,TRUE,TRUE
"grid_222","inherited_266",50,5,0.95,0.999,-2.02458483953151,-2.0245848395315,-2.02458483953151,-2.02458483953151,7.54951656745106e-15,3.10862446895044e-15,3.10862446895044e-15,1.06581410364015e-14,2.02458483953151e-10,TRUE,TRUE,TRUE
"grid_223","inherited_266",200,5,0.95,0.999,-0.0233984704239153,-0.0233984704239154,-0.0233984704239153,-0.0233984704239153,7.28583859910259e-17,4.85722573273506e-17,4.85722573273506e-17,1.21430643318376e-16,1e-10,TRUE,TRUE,TRUE
"grid_224","inherited_266",1000,5,0.95,0.999,-0.00370516978535299,-0.00370516978535302,-0.003705169785353,-0.003705169785353,2.77555756156289e-17,1.25767452008319e-17,1.25767452008319e-17,1.51788304147971e-17,1e-10,TRUE,TRUE,TRUE
"grid_225","inherited_266",0.05,50,0.95,0.999,-156.424641469497,-156.424641469497,-156.424641469497,-156.424641469497,2.8421709430404e-14,0,0,2.8421709430404e-14,1.56424641469497e-08,TRUE,TRUE,TRUE
"grid_226","inherited_266",0.2,50,0.95,0.999,-154.401688884905,-154.401688884905,-154.401688884905,-154.401688884905,2.8421709430404e-14,0,0,2.8421709430404e-14,1.54401688884905e-08,TRUE,TRUE,TRUE
"grid_227","inherited_266",1,50,0.95,0.999,-149.7866136777,-149.7866136777,-149.7866136777,-149.7866136777,0,0,0,0,1.497866136777e-08,TRUE,TRUE,TRUE
"grid_228","inherited_266",5,50,0.95,0.999,-137.323363396358,-137.323363396358,-137.323363396358,-137.323363396358,0,0,0,0,1.37323363396358e-08,TRUE,TRUE,TRUE
"grid_229","inherited_266",50,50,0.95,0.999,-86.1575103173011,-86.1575103173011,-86.1575103173012,-86.1575103173012,0,2.8421709430404e-14,2.8421709430404e-14,2.8421709430404e-14,8.61575103173011e-09,TRUE,TRUE,TRUE
"grid_230","inherited_266",200,50,0.95,0.999,-37.6533445763654,-37.6533445763654,-37.6533445763654,-37.6533445763654,1.4210854715202e-14,0,0,1.4210854715202e-14,3.76533445763654e-09,TRUE,TRUE,TRUE
"grid_231","inherited_266",1000,50,0.95,0.999,-0.42237196138503,-0.422371961385051,-0.42237196138503,-0.42237196138503,2.1538326677728e-14,1.66533453693773e-16,1.66533453693773e-16,2.17048601314218e-14,1e-10,TRUE,TRUE,TRUE
"grid_232","inherited_266",0.05,200,0.95,0.999,-607.100374280283,-607.100374280283,-607.100374280283,-607.100374280283,0,0,0,0,6.07100374280283e-08,TRUE,TRUE,TRUE
"grid_233","inherited_266",0.2,200,0.95,0.999,-604.868747393361,-604.868747393361,-604.868747393361,-604.868747393361,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,0,6.04868747393361e-08,TRUE,TRUE,TRUE
"grid_234","inherited_266",1,200,0.95,0.999,-599.146454710798,-599.146454710798,-599.146454710798,-599.146454710798,0,0,0,0,5.99146454710798e-08,TRUE,TRUE,TRUE
"grid_235","inherited_266",5,200,0.95,0.999,-581.285735475608,-581.285735475608,-581.285735475608,-581.285735475608,0,0,0,0,5.81285735475608e-08,TRUE,TRUE,TRUE
"grid_236","inherited_266",50,200,0.95,0.999,-480.920877058187,-480.920877058187,-480.920877058187,-480.920877058187,0,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,4.80920877058187e-08,TRUE,TRUE,TRUE
"grid_237","inherited_266",200,200,0.95,0.999,-335.95675931329,-335.95675931329,-335.956759313291,-335.956759313291,0,1.13686837721616e-13,1.13686837721616e-13,1.13686837721616e-13,3.3595675931329e-08,TRUE,TRUE,TRUE
"grid_238","inherited_266",1000,200,0.95,0.999,-113.072181260169,-113.072181260169,-113.072181260169,-113.072181260169,1.4210854715202e-13,0,0,1.4210854715202e-13,1.13072181260169e-08,TRUE,TRUE,TRUE
"grid_239","inherited_266",0.05,1000,0.95,0.999,-3005.21486534015,-3005.21486534015,-3005.21486534015,-3005.21486534015,0,0,0,0,3.00521486534015e-07,TRUE,TRUE,TRUE
"grid_240","inherited_266",0.2,1000,0.95,0.999,-3002.7416290322,-3002.7416290322,-3002.7416290322,-3002.7416290322,0,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,3.0027416290322e-07,TRUE,TRUE,TRUE
"grid_241","inherited_266",1,1000,0.95,0.999,-2995.73227355399,-2995.73227355399,-2995.73227355399,-2995.73227355399,0,0,0,0,2.99573227355399e-07,TRUE,TRUE,TRUE
"grid_242","inherited_266",5,1000,0.95,0.999,-2971.47428408569,-2971.47428408569,-2971.47428408569,-2971.47428408569,0,0,0,0,2.97147428408569e-07,TRUE,TRUE,TRUE
"grid_243","inherited_266",50,1000,0.95,0.999,-2803.12352737475,-2803.12352737475,-2803.12352737475,-2803.12352737475,0,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,2.80312352737475e-07,TRUE,TRUE,TRUE
"grid_244","inherited_266",200,1000,0.95,0.999,-2470.52479728748,-2470.52479728748,-2470.52479728748,-2470.52479728748,0,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,2.47052479728749e-07,TRUE,TRUE,TRUE
"grid_245","inherited_266",1000,1000,0.95,0.999,-1665.34547820149,-1665.34547820149,-1665.34547820149,-1665.34547820149,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,0,1.66534547820149e-07,TRUE,TRUE,TRUE
"tiny_u_shape","inherited_266",1e-08,1e-08,0.1,0.9,-17.6334857532637,-17.6334857532637,-17.6334857532637,-17.6334857446425,0,0,8.62115001609709e-09,0,1.76334857532637e-09,TRUE,TRUE,TRUE
"tiny_left_shape","inherited_266",1e-07,0.2,0.3,0.4,-17.0208932910963,-17.0208932910963,-17.0208932910963,-17.0208932910964,0,3.5527136788005e-15,3.19744231092045e-14,3.5527136788005e-15,1.70208932910963e-09,TRUE,TRUE,TRUE
"tiny_right_shape","inherited_266",0.2,1e-07,0.4,0.5,-17.1810007274786,-17.1810007274786,-17.1810007274786,-17.1810007274787,3.19744231092045e-14,3.5527136788005e-15,1.4210854715202e-14,3.5527136788005e-14,1.71810007274786e-09,TRUE,TRUE,TRUE
"inherited_switch_1","inherited_switch_24",2.5,7.5,0.3,0.30000297,-11.8685209387165,-11.8685209387165,-11.8685209387165,-11.8685209387165,1.77635683940025e-15,0,0,1.77635683940025e-15,1.18685209387165e-09,TRUE,TRUE,TRUE
"inherited_switch_2","inherited_switch_24",2.5,7.5,0.3,0.30000303,-11.8485204005748,-11.8485204005748,-11.8485204005748,-11.8485204005767,1.77635683940025e-15,0,1.89359639080067e-12,1.77635683940025e-15,1.18485204005748e-09,TRUE,TRUE,TRUE
"inherited_switch_3","inherited_switch_24",2.5,7.5,0.3,0.3000029997,-11.8585706715019,-11.8585706715019,-11.8585706715019,-11.8585706715019,3.5527136788005e-15,0,0,3.5527136788005e-15,1.18585706715019e-09,TRUE,TRUE,TRUE
"inherited_switch_4","inherited_switch_24",2.5,7.5,0.3,0.3000030003,-11.858370672789,-11.858370672789,-11.858370672789,-11.8583706727681,1.77635683940025e-15,0,2.08313366556467e-11,1.77635683940025e-15,1.1858370672789e-09,TRUE,TRUE,TRUE
"inherited_switch_5","inherited_switch_24",2.5,7.5,0.3,0.300002999997,-11.8584716671452,-11.8584716671452,-11.8584716671452,-11.8584716671452,1.77635683940025e-15,0,0,1.77635683940025e-15,1.18584716671452e-09,TRUE,TRUE,TRUE
"inherited_switch_6","inherited_switch_24",2.5,7.5,0.3,0.300003000003,-11.8584696671467,-11.8584696671467,-11.8584696671467,-11.8584696671406,1.77635683940025e-15,0,6.12310202541266e-12,1.77635683940025e-15,1.18584696671467e-09,TRUE,TRUE,TRUE
"inherited_switch_7","inherited_switch_24",1,1,0.3,0.30000297,-12.7269486051527,-12.7269486051527,-12.7269486051527,-12.7269486051527,0,0,0,0,1.27269486051527e-09,TRUE,TRUE,TRUE
"inherited_switch_8","inherited_switch_24",1,1,0.3,0.30000303,-12.7069479384381,-12.7069479384381,-12.7069479384381,-12.7069479384186,0,0,1.94706473166661e-11,0,1.27069479384381e-09,TRUE,TRUE,TRUE
"inherited_switch_9","inherited_switch_24",1,1,0.3,0.3000029997,-12.7169982742945,-12.7169982742945,-12.7169982742945,-12.7169982742945,1.77635683940025e-15,0,0,1.77635683940025e-15,1.27169982742945e-09,TRUE,TRUE,TRUE
"inherited_switch_10","inherited_switch_24",1,1,0.3,0.3000030003,-12.7167982742958,-12.7167982742958,-12.7167982742958,-12.7167982742917,0,0,4.09805522849638e-12,0,1.27167982742958e-09,TRUE,TRUE,TRUE
"inherited_switch_11","inherited_switch_24",1,1,0.3,0.300002999997,-12.7168992693013,-12.7168992693013,-12.7168992693013,-12.7168992693013,0,0,0,0,1.27168992693013e-09,TRUE,TRUE,TRUE
"inherited_switch_12","inherited_switch_24",1,1,0.3,0.300003000003,-12.71689726929,-12.71689726929,-12.71689726929,-12.7168972692916,0,0,1.54365409343882e-12,0,1.271689726929e-09,TRUE,TRUE,TRUE
"inherited_switch_13","inherited_switch_24",3.57086848119682e-05,3.57086848119682e-05,0.2,0.8,-9.91353733401512,-9.91353733401513,-9.91353733401512,-9.91353733401468,1.77635683940025e-15,0,4.45865566689463e-13,1.77635683940025e-15,9.91353733401512e-10,TRUE,TRUE,TRUE
"inherited_switch_14","inherited_switch_24",3.64300723839272e-05,3.64300723839272e-05,0.2,0.8,-9.89353777771495,-9.8935377776885,-9.89353777771708,-9.89353777771708,2.64446242681515e-11,2.1351809209591e-12,2.1351809209591e-12,2.85798051891106e-11,9.89353777771495e-10,TRUE,TRUE,TRUE
"inherited_switch_15","inherited_switch_24",3.60657716600879e-05,3.60657716600879e-05,0.2,0.8,-9.90358755281338,-9.90358755281338,-9.90358755281338,-9.90358755281302,1.77635683940025e-15,0,3.65929508916452e-13,1.77635683940025e-15,9.90358755281338e-10,TRUE,TRUE,TRUE
"inherited_switch_16","inherited_switch_24",3.60729855358075e-05,3.60729855358075e-05,0.2,0.8,-9.90338756391678,-9.90338756390947,-9.90338756392057,-9.90338756392057,7.31326110781083e-12,3.78896913844073e-12,3.78896913844073e-12,1.11022302462516e-11,9.90338756391678e-10,TRUE,TRUE,TRUE
"inherited_switch_17","inherited_switch_24",1.78540945732565e-05,3.5708189146513e-05,0.2,0.8,-10.3190025811398,-10.3190025811398,-10.3190025811398,-10.3190025811377,3.5527136788005e-15,0,2.01438865587988e-12,3.5527136788005e-15,1.03190025811398e-09,TRUE,TRUE,TRUE
"inherited_switch_18","inherited_switch_24",1.82147833525142e-05,3.64295667050285e-05,0.2,0.8,-10.2990027472468,-10.2990027472072,-10.2990027472489,-10.2990027472489,3.96713772943258e-11,2.0978774273317e-12,2.0978774273317e-12,4.17692547216575e-11,1.02990027472468e-09,TRUE,TRUE,TRUE
"inherited_switch_19","inherited_switch_24",1.80326355189891e-05,3.60652710379782e-05,0.2,0.8,-10.3090526625295,-10.3090526625295,-10.3090526625295,-10.3090526625248,0,0,4.66116034658626e-12,0,1.03090526625295e-09,TRUE,TRUE,TRUE
"inherited_switch_20","inherited_switch_24",1.80362424067817e-05,3.60724848135633e-05,0.2,0.8,-10.308852670857,-10.308852670928,-10.3088526708525,-10.3088526708525,7.1000982870828e-11,4.48885373316443e-12,4.48885373316443e-12,7.54898366039924e-11,1.0308852670857e-09,TRUE,TRUE,TRUE
"inherited_switch_21","inherited_switch_24",3.60637711024749e-08,3.60637711024749e-08,0.2,0.8,-16.811342841628,-16.811342841628,-16.811342841628,-16.8113428381636,3.5527136788005e-15,3.5527136788005e-15,3.46435058418137e-09,0,1.6811342841628e-09,TRUE,TRUE,TRUE
"inherited_switch_22","inherited_switch_24",3.60709845780429e-08,3.60709845780429e-08,0.2,0.8,-16.8111428416384,-16.8111428416384,-16.8111428416384,-16.8111428359259,3.5527136788005e-15,3.5527136788005e-15,5.71255043269048e-09,0,1.68111428416384e-09,TRUE,TRUE,TRUE
"inherited_switch_23","inherited_switch_24",1.80318854111299e-08,3.60637708222598e-08,0.2,0.8,-17.2168079436271,-17.2168079436271,-17.2168079436271,-17.2168079396098,0,0,4.01734112642771e-09,0,1.72168079436271e-09,TRUE,TRUE,TRUE
"inherited_switch_24","inherited_switch_24",1.80354921488859e-08,3.60709842977718e-08,0.2,0.8,-17.2166079436348,-17.2166079436348,-17.2166079436348,-17.2166079418138,0,3.5527136788005e-15,1.82098958134702e-09,3.5527136788005e-15,1.72166079436348e-09,TRUE,TRUE,TRUE
"review_counterexample","new_counterexamples",1e-08,1e-08,0.4,0.5,-20.0165483942296,-20.0165483942296,-20.0165483942296,-20.016548414999,0,0,2.07694235143663e-08,0,2.00165483942296e-09,TRUE,TRUE,TRUE
"tiny_shape_1e12","new_counterexamples",1e-12,1e-12,0.4,0.5,-29.2268887522078,-29.2268887522078,-29.2268887522078,-29.2269175085224,0,0,2.87563146166292e-05,0,2.92268887522078e-09,TRUE,TRUE,TRUE
"tiny_shape_1e6","new_counterexamples",1e-06,2e-06,0.2,0.8,-13.201196534607,-13.201196534607,-13.201196534607,-13.2011965346365,1.77635683940025e-15,1.77635683940025e-15,2.95035107455988e-11,3.5527136788005e-15,1.3201196534607e-09,TRUE,TRUE,TRUE
"tiny_shape_asymmetric","new_counterexamples",1e-09,3e-08,0.3,0.6,-20.5307041919125,-20.5307041919125,-20.5307041919125,-20.5307042203339,0,3.5527136788005e-15,2.84214074497413e-08,3.5527136788005e-15,2.05307041919125e-09,TRUE,TRUE,TRUE
"audit_gap_1_0.01_-1","audit_gap_switch",3.57086848118886e-05,3.57086848118886e-05,0.2,0.8,-9.91353733401735,-9.91353733401736,-9.91353733401735,-9.91353733402141,1.77635683940025e-15,0,4.05542266435077e-12,1.77635683940025e-15,9.91353733401735e-10,TRUE,TRUE,TRUE
"audit_gap_1_0.01_1","audit_gap_switch",3.64300723838459e-05,3.64300723838459e-05,0.2,0.8,-9.89353777771718,-9.8935377776885,-9.89353777771928,-9.89353777771928,2.86757284584382e-11,2.1014301410105e-12,2.1014301410105e-12,3.07771585994487e-11,9.89353777771718e-10,TRUE,TRUE,TRUE
"audit_gap_1_1e-04_-1","audit_gap_switch",3.60657716600075e-05,3.60657716600075e-05,0.2,0.8,-9.90358755281562,-9.90358755281561,-9.90358755281562,-9.90358755281968,1.77635683940025e-15,0,4.06430444854777e-12,1.77635683940025e-15,9.90358755281562e-10,TRUE,TRUE,TRUE
"audit_gap_1_1e-04_1","audit_gap_switch",3.6072985535727e-05,3.6072985535727e-05,0.2,0.8,-9.90338756391901,-9.90338756390947,-9.90338756392279,-9.90338756392279,9.54258894125815e-12,3.78008735424373e-12,3.78008735424373e-12,1.33226762955019e-11,9.90338756391901e-10,TRUE,TRUE,TRUE
"audit_gap_1_1e-06_-1","audit_gap_switch",3.60693425284886e-05,3.60693425284886e-05,0.2,0.8,-9.90348855331229,-9.90348855331229,-9.90348855331229,-9.90348855331353,1.77635683940025e-15,1.77635683940025e-15,1.23634436022257e-12,0,9.9034885533123e-10,TRUE,TRUE,TRUE
"audit_gap_1_1e-06_1","audit_gap_switch",3.60694146672458e-05,3.60694146672458e-05,0.2,0.8,-9.90348655342333,-9.90348655334668,-9.90348655342439,-9.90348655342439,7.66586794043178e-11,1.05693231944315e-12,1.05693231944315e-12,7.7715611723761e-11,9.90348655342334e-10,TRUE,TRUE,TRUE
"audit_gap_2_0.01_-1","audit_gap_switch",1.78540945732446e-05,3.57081891464892e-05,0.2,0.8,-10.3190025811404,-10.3190025811404,-10.3190025811404,-10.31900258114,0,0,4.36983782492462e-13,0,1.03190025811404e-09,TRUE,TRUE,TRUE
"audit_gap_2_0.01_1","audit_gap_switch",1.82147833525021e-05,3.64295667050041e-05,0.2,0.8,-10.2990027472475,-10.2990027472797,-10.2990027472467,-10.2990027472467,3.22106785688447e-11,7.67386154620908e-13,7.67386154620908e-13,3.29780647234656e-11,1.02990027472475e-09,TRUE,TRUE,TRUE
"audit_gap_2_1e-04_-1","audit_gap_switch",1.8032635518977e-05,3.60652710379541e-05,0.2,0.8,-10.3090526625302,-10.3090526625302,-10.3090526625302,-10.3090526625248,1.77635683940025e-15,0,5.33084687504015e-12,1.77635683940025e-15,1.03090526625302e-09,TRUE,TRUE,TRUE
"audit_gap_2_1e-04_1","audit_gap_switch",1.80362424067696e-05,3.60724848135392e-05,0.2,0.8,-10.3088526708576,-10.3088526708569,-10.3088526708525,-10.3088526708525,7.15871806278301e-13,5.15676390477893e-12,5.15676390477893e-12,4.44089209850063e-12,1.03088526708576e-09,TRUE,TRUE,TRUE
"audit_gap_2_1e-06_-1","audit_gap_switch",1.80344209284344e-05,3.60688418568687e-05,0.2,0.8,-10.3089536616528,-10.3089536616528,-10.3089536616528,-10.3089536616564,1.77635683940025e-15,0,3.58824081558851e-12,1.77635683940025e-15,1.03089536616528e-09,TRUE,TRUE,TRUE
"audit_gap_2_1e-06_1","audit_gap_switch",1.80344569973123e-05,3.60689139946246e-05,0.2,0.8,-10.3089516617361,-10.3089516618161,-10.3089516617317,-10.3089516617317,8.00177701876237e-11,4.35917968388821e-12,4.35917968388821e-12,8.43769498715119e-11,1.03089516617361e-09,TRUE,TRUE,TRUE
"audit_shape_0.01_-1","audit_shape_switch",9.9e-06,0.2,0.3,0.4,-12.4258299760323,-12.4258299760323,-12.4258299760323,-12.4258299760324,0,0,1.24344978758018e-14,0,1.24258299760323e-09,TRUE,TRUE,TRUE
"audit_shape_0.01_1","audit_shape_switch",1.01e-05,0.2,0.3,0.4,-12.405830463078,-12.405830463078,-12.405830463078,-12.405830463078,1.77635683940025e-15,3.5527136788005e-15,3.5527136788005e-15,5.32907051820075e-15,1.2405830463078e-09,TRUE,TRUE,TRUE
"audit_shape_1e-04_-1","audit_shape_switch",9.999e-06,0.2,0.3,0.4,-12.4158802162867,-12.4158802162867,-12.4158802162867,-12.4158802162867,1.77635683940025e-15,0,1.24344978758018e-14,1.77635683940025e-15,1.24158802162867e-09,TRUE,TRUE,TRUE
"audit_shape_1e-04_1","audit_shape_switch",1.0001e-05,0.2,0.3,0.4,-12.4156802278236,-12.4156802278236,-12.4156802278236,-12.4156802278236,1.77635683940025e-15,2.48689957516035e-14,2.48689957516035e-14,2.30926389122033e-14,1.24156802278236e-09,TRUE,TRUE,TRUE
"audit_shape_1e-06_-1","audit_shape_switch",9.99999e-06,0.2,0.3,0.4,-12.4157812169979,-12.4157812169979,-12.4157812169979,-12.415781216998,0,0,3.19744231092045e-14,0,1.24157812169979e-09,TRUE,TRUE,TRUE
"audit_shape_1e-06_1","audit_shape_switch",1.000001e-05,0.2,0.3,0.4,-12.4157792171133,-12.4157792171133,-12.4157792171133,-12.4157792171133,0,2.66453525910038e-14,2.66453525910038e-14,2.66453525910038e-14,1.24157792171133e-09,TRUE,TRUE,TRUE
