"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"grid_53","a_b","a",-2.07755854080313,-2.07755854080534,2.21245244347301e-12,1.06492905014141e-12
"grid_53","a_b","b",21.8802708086204,21.8802708085016,1.18809850846446e-10,5.42999910221782e-12
"grid_54","a_b","a",-1.91604659743723,-1.91604659743601,1.21991305945812e-12,6.36682354745739e-13
"grid_54","a_b","b",24.2417630733488,24.2417630727706,5.78260994643642e-10,2.38539166028386e-11
"grid_55","a_b","a",-1.90186525127152,-1.90186525127073,7.98694443915338e-13,4.19953224016103e-13
"grid_55","a_b","b",25.6322684151862,25.6322684142181,9.68064739481633e-10,3.77674236176714e-11
"grid_56","a_b","a",-1.89806979390327,-1.89806979390312,1.46771483855446e-13,7.73267054388081e-14
"grid_56","a_b","b",27.2428075150231,27.2428075220432,7.02011604403197e-09,2.57686952358039e-10
"grid_57","a_b","a",13.8369716871721,13.8369716868277,3.44442696587066e-10,2.48929248670042e-11
"grid_57","a_b","b",0.964345422151336,0.964345422227453,7.61163354567884e-11,7.61163354567884e-11
"grid_58","a_b","a",0.309335198119971,0.309335198110198,9.77323777462402e-12,9.77323777462402e-12
"grid_58","a_b","b",2.62891157198395,2.62891157201128,2.7328805884963e-11,1.03954831253813e-11
"grid_59","a_b","a",-2.05183534041057,-2.05183534041179,1.22257759471722e-12,5.95845860843715e-13
"grid_59","a_b","b",4.89330007205528,4.89330007206375,8.46789305342099e-12,1.73050761831772e-12
"grid_60","a_b","a",-2.04587480218079,-2.0458748021821,1.30917499063798e-12,6.39909631440612e-13
"grid_60","a_b","b",6.70385519966794,6.70385519966343,4.50306458787963e-12,6.71712686769504e-13
"grid_61","a_b","a",-1.9130340799881,-1.91303407998854,4.45421477479613e-13,2.32835097993801e-13
"grid_61","a_b","b",9.03598224354212,9.03598224330319,2.3893065304037e-10,2.6442133971373e-11
"grid_62","a_b","a",-1.90111449698768,-1.90111449698733,3.51496609596325e-13,1.84889763427366e-13
"grid_62","a_b","b",10.4242148417448,10.4242148425489,8.04091015993436e-10,7.71368422599413e-11
"grid_63","a_b","a",-1.89791976404471,-1.89791976404488,1.68309810533174e-13,8.86812044016386e-14
"grid_63","a_b","b",12.0341524812222,12.0341524786719,2.55030130347222e-09,2.11921970241952e-10
"grid_64","a_b","a",17.5586025718979,17.5586025719395,4.15418810462143e-11,2.36589904441499e-12
"grid_64","a_b","b",-0.0170612019367704,-0.0170612019353052,1.46519948951429e-12,1.46519948951429e-12
"grid_65","a_b","a",2.57367351953425,2.57367351953752,3.26894067370631e-12,1.27014582420451e-12
"grid_65","a_b","b",0.190249241436088,0.190249241438141,2.053301972893e-12,2.053301972893e-12
"grid_66","a_b","a",-1.34781384055183,-1.34781384055242,5.91526827520283e-13,4.38878730669392e-13
"grid_66","a_b","b",0.894124604049357,0.894124604048363,9.93760629341978e-13,9.93760629341978e-13
"grid_67","a_b","a",-1.89258026468477,-1.89258026468764,2.8643754035329e-12,1.51347631430874e-12
"grid_67","a_b","b",2.14913862043158,2.14913862043827,6.68487487587299e-12,3.11049032030784e-12
"grid_68","a_b","a",-1.89711998488588,-1.89711998488503,8.5309537212197e-13,4.49679186829963e-13
"grid_68","a_b","b",4.34013495109948,4.34013495113443,3.49444917446817e-11,8.05147584997281e-12
"grid_69","a_b","a",-1.89711998488588,-1.89711998488503,8.5309537212197e-13,4.49679186829963e-13
"grid_69","a_b","b",5.71638921607599,5.71638921613271,5.67217384173091e-11,9.92265156774662e-12
"grid_70","a_b","a",-1.89711998488588,-1.89711998488633,4.48752146553488e-13,2.36543892915859e-13
"grid_70","a_b","b",7.32312819430877,7.32312819508252,7.737472884628e-10,1.05658028625304e-10
"grid_71","a_b","a",19.534572220638,19.5345722206216,1.64810387559555e-11,8.43685675315552e-13
"grid_71","a_b","b",-0.0815123565275934,-0.0815123565276095,1.6084356069257e-14,1.6084356069257e-14
"grid_72","a_b","a",4.37284330553747,4.37284330554085,3.37951888695898e-12,7.72842439306429e-13
"grid_72","a_b","b",-0.0506397706744535,-0.0506397706751908,7.37333805123086e-13,7.37333805123086e-13
"grid_73","a_b","a",-0.103663528525374,-0.103663528521018,4.35657065978035e-12,4.35657065978035e-12
"grid_73","a_b","b",0.0982221543360355,0.0982221543361176,8.21148704588381e-14,8.21148704588381e-14
"grid_74","a_b","a",-1.36504399150405,-1.36504399150731,3.26649818305214e-12,2.39296184106506e-12
"grid_74","a_b","b",0.613683260974469,0.61368326097444,2.91988655476416e-14,2.91988655476416e-14
"grid_75","a_b","a",-1.82116802693409,-1.82116802693362,4.66959804157341e-13,2.56406766015753e-13
"grid_75","a_b","b",2.33307269757883,2.33307269757669,2.1387336346379e-12,9.16702525754707e-13
"grid_76","a_b","a",-1.87738379817094,-1.87738379817084,9.88098491916389e-14,5.26316724837568e-14
"grid_76","a_b","b",3.65281262396573,3.65281262399719,3.14672732315557e-11,8.61453254536823e-12
"grid_77","a_b","a",-1.89313065970546,-1.89313065970595,4.84945417156268e-13,2.56160563809998e-13
"grid_77","a_b","b",5.24378501494617,5.24378501503027,8.40989500261458e-11,1.60378333179359e-11
"grid_78","a_b","a",21.6459027875237,21.6459027876074,8.3680617990467e-11,3.86588717558019e-12
"grid_78","a_b","b",-0.066359628699301,-0.0663596286992751,2.58126853225349e-14,2.58126853225349e-14
"grid_79","a_b","a",6.44633574273112,6.44633574274726,1.61382018859513e-11,2.50346902953485e-12
"grid_79","a_b","b",-0.0638308123522786,-0.0638308123522613,1.72639680329212e-14,1.72639680329212e-14
"grid_80","a_b","a",1.78748978600317,1.78748978601799,1.48197010219064e-11,8.29078920496686e-12
"grid_80","a_b","b",-0.0508641104168153,-0.0508641104168076,7.67441665772139e-15,7.67441665772139e-15
"grid_81","a_b","a",0.0606388057854174,0.0606388057857524,3.34995919892833e-13,3.34995919892833e-13
