"Case","Mode","Stan","Reference","AbsError"
"grid_41","a_b",-649.680427786202,-649.680427786202,1.13686837721616e-13
"grid_42","a_b",-4071.76386855842,-4071.76386855841,4.54747350886464e-13
"grid_43","a_b",-4.46341472767966,-4.46341472767966,1.77635683940025e-15
"grid_44","a_b",-2.94940202672492,-2.94940202672491,1.11022302462516e-14
"grid_45","a_b",-1.00061775082366,-1.00061775082366,1.77635683940025e-15
"grid_46","a_b",-0.0321584571270022,-0.0321584571270017,5.06539254985228e-16
"grid_47","a_b",-41.9642547781073,-41.9642547781073,3.5527136788005e-14
"grid_48","a_b",-394.009069662853,-394.009069662853,1.70530256582424e-13
"grid_49","a_b",-3233.62549337211,-3233.62549337211,9.09494701772928e-13
"grid_50","a_b",-3.62112732446021,-3.62112732446022,4.88498130835069e-15
"grid_51","a_b",-3.50465633798528,-3.50465633798529,4.44089209850063e-15
"grid_52","a_b",-5.19727068265805,-5.19727068265805,8.88178419700125e-16
"grid_53","a_b",-13.8647345526447,-13.8647345526447,1.77635683940025e-15
"grid_54","a_b",-101.390654739476,-101.390654739476,0
"grid_55","a_b",-387.272836527035,-387.272836527035,5.6843418860808e-14
"grid_56","a_b",-1906.49702980861,-1906.49702980861,2.27373675443232e-13
"grid_57","a_b",-3.1555996525808,-3.15559965258083,2.66453525910038e-14
"grid_58","a_b",-2.56600877823685,-2.56600877823685,4.44089209850063e-16
"grid_59","a_b",-3.82699290850502,-3.82699290850502,4.44089209850063e-16
"grid_60","a_b",-12.2101130929032,-12.2101130929032,0
"grid_61","a_b",-99.3840247145046,-99.3840247145046,0
"grid_62","a_b",-385.057801263679,-385.057801263679,5.6843418860808e-14
"grid_63","a_b",-1904.04045879658,-1904.04045879658,2.27373675443232e-13
"grid_64","a_b",-3.02388003170936,-3.02388003170935,6.21724893790088e-15
"grid_65","a_b",-2.00266453773253,-2.00266453773253,1.77635683940025e-15
"grid_66","a_b",-2.30258509299405,-2.30258509299405,4.44089209850063e-16
"grid_67","a_b",-9.48972364161327,-9.48972364161327,1.77635683940025e-15
"grid_68","a_b",-94.8559992442941,-94.8559992442941,0
"grid_69","a_b",-379.423996977176,-379.423996977176,0
"grid_70","a_b",-1897.11998488588,-1897.11998488588,0
"grid_71","a_b",-3.29926743079126,-3.29926743079128,1.82076576038526e-14
"grid_72","a_b",-1.99540010831435,-1.99540010831435,6.66133814775094e-16
"grid_73","a_b",-1.10843348410962,-1.10843348410961,1.33226762955019e-15
"grid_74","a_b",-5.18580313810001,-5.18580313810001,1.77635683940025e-15
"grid_75","a_b",-82.8278976518003,-82.8278976518003,1.4210854715202e-14
"grid_76","a_b",-362.005713059074,-362.005713059074,0
"grid_77","a_b",-1873.30640298394,-1873.30640298394,0
"grid_78","a_b",-6.65689316781114,-6.65689316781113,8.88178419700125e-16
"grid_79","a_b",-5.0391788728499,-5.03917887284991,9.76996261670138e-15
"grid_80","a_b",-2.56851597230834,-2.56851597230833,3.99680288865056e-15
"grid_81","a_b",-0.234397503757009,-0.234397503757008,1.72084568816899e-15
"grid_82","a_b",-36.5445375765818,-36.5445375765818,7.105427357601e-15
"grid_83","a_b",-266.617462698811,-266.617462698811,0
"grid_84","a_b",-1709.95520005525,-1709.95520005525,4.54747350886464e-13
"grid_85","a_b",-15.4949246177777,-15.4949246177777,1.06581410364015e-14
"grid_86","a_b",-13.6927604402633,-13.6927604402633,5.32907051820075e-15
"grid_87","a_b",-10.2586588777284,-10.2586588777284,7.105427357601e-15
"grid_88","a_b",-3.76686375680512,-3.76686375680512,0
"grid_89","a_b",-4.00375357243378,-4.00375357243378,2.66453525910038e-15
"grid_90","a_b",-138.230104158001,-138.230104158001,2.8421709430404e-14
"grid_91","a_b",-1394.02122288973,-1394.02122288973,2.27373675443232e-13
"grid_92","a_b",-57.9961722814992,-57.9961722814992,2.8421709430404e-14
"grid_93","a_b",-55.9618578281072,-55.9618578281072,2.8421709430404e-14
"grid_94","a_b",-51.2932943875506,-51.2932943875505,4.2632564145606e-14
"grid_95","a_b",-38.7359307130328,-38.7359307130328,2.8421709430404e-14
"grid_96","a_b",-1.06563267517131,-1.06563267517134,3.41948691584548e-14
"grid_97","a_b",-2.85523447641046,-2.85523447641057,1.09690034832965e-13
"grid_98","a_b",-677.707912297892,-677.707912297893,5.6843418860808e-13
"grid_99","a_b",-4.65776295320344,-4.65776295320353,8.70414851306123e-14
"grid_100","a_b",-4.29778560607656,-4.29778560607657,1.33226762955019e-14
"grid_101","a_b",-4.72781148632624,-4.72781148632624,0
"grid_102","a_b",-7.78241006417591,-7.78241006417591,0
"grid_103","a_b",-40.7027872831044,-40.7027872831044,7.105427357601e-15
"grid_104","a_b",-145.978038213633,-145.978038213633,0
"grid_105","a_b",-702.020908866351,-702.020908866351,1.13686837721616e-13
"grid_106","a_b",-4.26740161112157,-4.26740161112151,5.41788836017076e-14
"grid_107","a_b",-3.43415504657181,-3.43415504657182,8.88178419700125e-15
"grid_108","a_b",-3.43176314684527,-3.43176314684527,3.99680288865056e-15
"grid_109","a_b",-6.19981456482871,-6.19981456482871,1.77635683940025e-15
"grid_110","a_b",-38.7734254491981,-38.7734254491981,0
"grid_111","a_b",-143.841989198985,-143.841989198985,0
"grid_112","a_b",-699.643808956601,-699.643808956601,1.13686837721616e-13
"grid_113","a_b",-4.53590302135428,-4.53590302135427,4.44089209850063e-15
"grid_114","a_b",-3.27023870340691,-3.27023870340691,3.99680288865056e-15
"grid_115","a_b",-2.30258509299404,-2.30258509299405,2.22044604925031e-15
"grid_116","a_b",-3.86275676412523,-3.86275676412523,4.44089209850063e-16
"grid_117","a_b",-34.657373300576,-34.657373300576,0
"grid_118","a_b",-138.629436111989,-138.629436111989,0
"grid_119","a_b",-693.147180559945,-693.147180559945,0
"grid_120","a_b",-6.79574890782174,-6.79574890782174,3.5527136788005e-15
"grid_121","a_b",-5.24355067319385,-5.24355067319385,8.88178419700125e-16
"grid_122","a_b",-3.06808793574613,-3.06808793574613,8.88178419700125e-16
"grid_123","a_b",-1.45486309399491,-1.45486309399491,0
"grid_124","a_b",-24.6858299221188,-24.6858299221188,3.5527136788005e-15
"grid_125","a_b",-123.317182403869,-123.317182403869,0
"grid_126","a_b",-671.452816982002,-671.452816982002,1.13686837721616e-13
"grid_127","a_b",-31.383517266237,-31.3835172662371,7.105427357601e-15
"grid_128","a_b",-29.4862766516261,-29.4862766516261,3.5527136788005e-15
"grid_129","a_b",-25.5413910791564,-25.5413910791564,0
"grid_130","a_b",-16.4215914441046,-16.4215914441046,7.105427357601e-15
"grid_131","a_b",-0.737999038521167,-0.737999038521173,5.21804821573824e-15
"grid_132","a_b",-51.5907434640699,-51.5907434640698,1.4210854715202e-14
"grid_133","a_b",-531.941721129327,-531.941721129327,2.27373675443232e-13
"grid_134","a_b",-109.304061703298,-109.304061703298,0
"grid_135","a_b",-107.201119465827,-107.201119465827,1.4210854715202e-14
"grid_136","a_b",-102.165124753198,-102.165124753198,0
"grid_137","a_b",-87.7353739326009,-87.7353739326009,0
"grid_138","a_b",-25.8901096593552,-25.8901096593552,1.4210854715202e-14
"grid_139","a_b",-0.693201004873014,-0.693201004873002,1.19904086659517e-14
"grid_140","a_b",-295.457868048466,-295.457868048466,1.70530256582424e-13
"grid_141","a_b",-519.487838487715,-519.487838487715,1.13686837721616e-13
"grid_142","a_b",-517.144135533734,-517.144135533733,1.13686837721616e-13
"grid_143","a_b",-510.825623765991,-510.825623765991,0
"grid_144","a_b",-490.021831422666,-490.021831422666,0
"grid_145","a_b",-360.528203372665,-360.528203372665,5.6843418860808e-14
"grid_146","a_b",-157.410123137824,-157.410123137825,1.4210854715202e-13
"grid_147","a_b",-0.693147180559806,-0.693147180559943,1.37112543541207e-13
"grid_148","a_b",-3.48189010266369,-3.4818901026637,1.68753899743024e-14
"grid_149","a_b",-3.03312417812787,-3.03312417812784,2.62012633811537e-14
"grid_150","a_b",-2.98922267268136,-2.98922267268135,6.66133814775094e-15
"grid_151","a_b",-3.66636453939716,-3.6663645393972,4.13002965160558e-14
"grid_152","a_b",-9.9041663706475,-9.9041663706475,3.5527136788005e-15
"grid_153","a_b",-26.92709346749,-26.92709346749,3.5527136788005e-15
"grid_154","a_b",-112.712761412296,-112.712761412296,0
"grid_155","a_b",-3.25966493984953,-3.25966493984953,1.33226762955019e-15
"grid_156","a_b",-2.33806299736546,-2.33806299736546,2.22044604925031e-15
"grid_157","a_b",-1.86403510162054,-1.86403510162054,1.11022302462516e-15
"grid_158","a_b",-2.26537028064009,-2.26537028064009,0
"grid_159","a_b",-8.19826376562612,-8.19826376562612,3.5527136788005e-15
"grid_160","a_b",-25.0269735767581,-25.0269735767581,0
"grid_161","a_b",-110.575900157094,-110.575900157094,0
"grid_162","a_b",-4.38832700250899,-4.38832700250899,0
"grid_163","a_b",-3.03658661721958,-3.03658661721958,8.88178419700125e-16
"grid_164","a_b",-1.6094379124341,-1.6094379124341,4.44089209850063e-16
"grid_165","a_b",-0.86175519922614,-0.861755199226141,8.88178419700125e-16
"grid_166","a_b",-5.26802927250448,-5.26802927250448,0
"grid_167","a_b",-21.0721031315653,-21.0721031315653,0
"grid_168","a_b",-105.360515657826,-105.360515657826,0
"grid_169","a_b",-10.2499225396879,-10.2499225396879,1.77635683940025e-15
"grid_170","a_b",-8.61897293687351,-8.61897293687351,1.77635683940025e-15
"grid_171","a_b",-6.02398773881354,-6.02398773881354,8.88178419700125e-16
"grid_172","a_b",-2.32362754054983,-2.32362754054983,1.77635683940025e-15
"grid_173","a_b",-1.0177936993479,-1.01779369934789,4.88498130835069e-15
"grid_174","a_b",-12.0309029732525,-12.0309029732525,5.32907051820075e-15
"grid_175","a_b",-90.0716193488078,-90.0716193488078,2.8421709430404e-14
"grid_176","a_b",-66.5534653949751,-66.5534653949751,0
"grid_177","a_b",-64.5752328636835,-64.5752328636835,1.4210854715202e-14
"grid_178","a_b",-60.1986402162968,-60.1986402162968,0
"grid_179","a_b",-48.9271708013552,-48.9271708013552,7.105427357601e-15
"grid_180","a_b",-11.0715914237912,-11.0715914237913,1.24344978758018e-14
"grid_181","a_b",-0.000152216309616083,-0.000152216309616118,3.53720958773396e-17
"grid_182","a_b",-22.4992793336177,-22.4992793336177,2.8421709430404e-14
"grid_183","a_b",-248.460138502024,-248.460138502024,2.8421709430404e-14
"grid_184","a_b",-246.27403955178,-246.27403955178,0
"grid_185","a_b",-240.794560865187,-240.794560865187,0
"grid_186","a_b",-224.147869220627,-224.147869220627,0
"grid_187","a_b",-137.435586440419,-137.435586440419,0
"grid_188","a_b",-37.8823431324666,-37.8823431324666,7.105427357601e-15
"grid_189","a_b",-7.17106857734005e-13,-7.1710685773396e-13,4.50344913572571e-26
"grid_190","a_b",-1213.16564007875,-1213.16564007875,2.27373675443232e-13
"grid_191","a_b",-1210.73815473423,-1210.73815473423,2.27373675443232e-13
"grid_192","a_b",-1203.97280432594,-1203.97280432594,0
"grid_193","a_b",-1180.9348384789,-1180.9348384789,2.27373675443232e-13
"grid_194","a_b",-1026.30914613031,-1026.30914613031,2.27373675443232e-13
"grid_195","a_b",-739.457795742163,-739.457795742163,1.13686837721616e-13
"grid_196","a_b",-178.159216599537,-178.159216599537,2.8421709430404e-14
"grid_197","a_b",-2.55421555219908,-2.55421555219908,0
"grid_198","a_b",-2.07611717009,-2.07611717009,3.5527136788005e-15
"grid_199","a_b",-1.87767117868944,-1.87767117868944,6.66133814775094e-16
"grid_200","a_b",-1.82728006580116,-1.82728006580115,5.32907051820075e-15
"grid_201","a_b",-2.14687317366057,-2.14687317366057,4.44089209850063e-16
"grid_202","a_b",-2.79912101608438,-2.79912101608438,3.10862446895044e-15
"grid_203","a_b",-4.46339485895792,-4.46339485895793,2.66453525910038e-15
"grid_204","a_b",-2.79109048739262,-2.79109048739262,4.44089209850063e-16
"grid_205","a_b",-1.8399600265563,-1.8399600265563,1.11022302462516e-15
"grid_206","a_b",-1.2103543615435,-1.2103543615435,8.88178419700125e-16
"grid_207","a_b",-0.879573836201001,-0.879573836201001,2.22044604925031e-16
"grid_208","a_b",-0.913675645187394,-0.913675645187393,9.99200722162641e-16
"grid_209","a_b",-1.44494841361737,-1.44494841361737,6.66133814775094e-16
"grid_210","a_b",-2.94937550392244,-2.94937550392243,8.88178419700125e-15
"grid_211","a_b",-5.98693282645002,-5.98693282645002,0
"grid_212","a_b",-4.60455654780473,-4.60455654780473,0
"grid_213","a_b",-3.01593498087151,-3.01593498087151,4.44089209850063e-16
"grid_214","a_b",-1.50855667751984,-1.50855667751984,2.22044604925031e-16
"grid_215","a_b",-0.134376717902347,-0.134376717902347,2.77555756156289e-16
"grid_216","a_b",-0.200142885341061,-0.200142885341061,2.77555756156289e-17
"grid_217","a_b",-1.00050033358354,-1.00050033358353,8.88178419700125e-16
"grid_218","a_b",-19.4409157156089,-19.4409157156089,0
"grid_219","a_b",-17.772490503579,-17.772490503579,3.5527136788005e-15
"grid_220","a_b",-14.97866137097,-14.97866137097,0
"grid_221","a_b",-10.3122920229433,-10.3122920229433,0
"grid_222","a_b",-2.0245848395315,-2.02458483953151,1.06581410364015e-14
"grid_223","a_b",-0.0233984704239154,-0.0233984704239153,8.32667268468867e-17
"grid_224","a_b",-0.00370516978535302,-0.003705169785353,1.51788304147971e-17
"grid_225","a_b",-156.424641469497,-156.424641469497,2.8421709430404e-14
"grid_226","a_b",-154.401688884905,-154.401688884905,2.8421709430404e-14
"grid_227","a_b",-149.7866136777,-149.7866136777,0
"grid_228","a_b",-137.323363396358,-137.323363396358,0
"grid_229","a_b",-86.1575103173011,-86.1575103173012,2.8421709430404e-14
"grid_230","a_b",-37.6533445763654,-37.6533445763654,1.4210854715202e-14
"grid_231","a_b",-0.422371961385051,-0.42237196138503,2.17048601314218e-14
"grid_232","a_b",-607.100374280283,-607.100374280283,0
"grid_233","a_b",-604.868747393361,-604.868747393361,0
"grid_234","a_b",-599.146454710798,-599.146454710798,0
"grid_235","a_b",-581.285735475608,-581.285735475608,0
"grid_236","a_b",-480.920877058187,-480.920877058187,5.6843418860808e-14
"grid_237","a_b",-335.95675931329,-335.956759313291,1.13686837721616e-13
"grid_238","a_b",-113.072181260169,-113.072181260169,1.4210854715202e-13
"grid_239","a_b",-3005.21486534015,-3005.21486534015,0
"grid_240","a_b",-3002.7416290322,-3002.7416290322,4.54747350886464e-13
"grid_241","a_b",-2995.73227355399,-2995.73227355399,0
"grid_242","a_b",-2971.47428408569,-2971.47428408569,0
"grid_243","a_b",-2803.12352737475,-2803.12352737475,4.54747350886464e-13
"grid_244","a_b",-2470.52479728748,-2470.52479728748,4.54747350886464e-13
"grid_245","a_b",-1665.34547820149,-1665.34547820149,0
"tiny_u_shape","a_b",-17.6334857532637,-17.6334857532637,0
"tiny_left_shape","a_b",-17.0208932910963,-17.0208932910963,3.5527136788005e-15
"tiny_right_shape","a_b",-17.1810007274786,-17.1810007274786,3.19744231092045e-14
"beta_1_100_upper","log_a_log_b",-51.0825623886738,-51.0825623886737,2.1316282072803e-14
"beta_200_1_lower","log_a_log_b",-71.3349887877465,-71.3349887877465,2.8421709430404e-14
"underflow_upper","log_a_log_b",-1021.65124753198,-1021.65124753198,1.13686837721616e-13
"underflow_lower","log_a_log_b",-713.349887877465,-713.349887877465,1.13686837721616e-13
"near_zero","log_a_log_b",-4.68135387784411,-4.68135387784411,8.88178419700125e-16
"near_one","log_a_log_b",-4.68135387633668,-4.68135387633668,8.88178419700125e-16
"narrow_middle","log_a_log_b",-27.731964914286,-27.731964914286,7.105427357601e-15
"narrow_tail","log_a_log_b",-237.327322129468,-237.327322129468,5.6843418860808e-14
"u_shaped","log_a_log_b",-0.276760542291714,-0.276760542291714,1.11022302462516e-16
"wide_center","log_a_log_b",-0.00107385637742568,-0.0010738563774257,1.75640751942652e-17
"skew_left","log_a_log_b",-50.661788160339,-50.661788160339,2.1316282072803e-14
"skew_right","log_a_log_b",-299.067366239022,-299.067366239022,1.70530256582424e-13
"concentrated_center","log_a_log_b",-0.224150341411233,-0.2241503414112,3.24185123190546e-14
"full_support","log_a_log_b",0,0,0
"left_boundary","log_a_log_b",-0.00220977769053513,-0.00220977769053513,0
"right_boundary","log_a_log_b",-0.00220977769053513,-0.00220977769053513,0
"cf_switch_left","log_a_log_b",-5.91022760927239,-5.91022760927284,4.44977388269763e-13
"cf_switch_right","log_a_log_b",-5.91022761164618,-5.91022761164612,5.6843418860808e-14
"actual_chain_left_tail","record_chain",-0.29329910979218,-0.29329910979218,1.11022302462516e-16
"actual_chain_right_tail","record_chain",-37.1798602333756,-37.1798602333756,7.105427357601e-15
"actual_chain_endpoint","record_chain",-0.0276960650822317,-0.0276960650822314,2.22044604925031e-16
"actual_chain_narrow","record_chain",-21.5984923858451,-21.5984923858451,3.5527136788005e-15
"actual_chain_u_shape","record_chain",-0.735358603805123,-0.735358603805123,0
