"Design","Route","Model","TrainWeighting","EvalWeighting","Metric","RawValue","PlotValue","PlotUnits"
"tenfold","joint_bb","M2","species_equal","record_equal","RMSE",0.33329567886138,33.329567886138,"percentage_points"
"tenfold","joint_bb","M2","species_equal","species_equal","RMSE",0.353752805280186,35.3752805280186,"percentage_points"
"tenfold","joint_bb","M3","record_equal","record_equal","RMSE",0.325392616036239,32.5392616036239,"percentage_points"
"tenfold","joint_bb","M3","record_equal","species_equal","RMSE",0.351711897767083,35.1711897767083,"percentage_points"
"tenfold","joint_bb","M3","species_equal","record_equal","RMSE",0.32124692950199,32.124692950199,"percentage_points"
"tenfold","joint_bb","M3","species_equal","species_equal","RMSE",0.350241940021862,35.0241940021862,"percentage_points"
"fivefold","binary","Null","record_equal","record_equal","ELPD",-90.0591196413381,-90.0591196413381,"weighted_log_score_sum"
"fivefold","binary","Null","record_equal","species_equal","ELPD",-98.74309247749,-98.74309247749,"weighted_log_score_sum"
"fivefold","binary","Null","species_equal","record_equal","ELPD",-87.9114167723871,-87.9114167723871,"weighted_log_score_sum"
"fivefold","binary","Null","species_equal","species_equal","ELPD",-95.6138656457715,-95.6138656457715,"weighted_log_score_sum"
"fivefold","binary","M1","record_equal","record_equal","ELPD",-71.0880998600444,-71.0880998600444,"weighted_log_score_sum"
"fivefold","binary","M1","record_equal","species_equal","ELPD",-76.0901673460176,-76.0901673460176,"weighted_log_score_sum"
"fivefold","binary","M1","species_equal","record_equal","ELPD",-69.4328979176443,-69.4328979176443,"weighted_log_score_sum"
"fivefold","binary","M1","species_equal","species_equal","ELPD",-75.4727249053207,-75.4727249053207,"weighted_log_score_sum"
"fivefold","binary","M2","record_equal","record_equal","ELPD",-72.0793432054157,-72.0793432054157,"weighted_log_score_sum"
"fivefold","binary","M2","record_equal","species_equal","ELPD",-77.1685975485028,-77.1685975485028,"weighted_log_score_sum"
"fivefold","binary","M2","species_equal","record_equal","ELPD",-70.0972514573131,-70.0972514573131,"weighted_log_score_sum"
"fivefold","binary","M2","species_equal","species_equal","ELPD",-75.9501832229237,-75.9501832229237,"weighted_log_score_sum"
"fivefold","binary","M3","record_equal","record_equal","ELPD",-70.0371965815284,-70.0371965815284,"weighted_log_score_sum"
"fivefold","binary","M3","record_equal","species_equal","ELPD",-77.8000332664886,-77.8000332664886,"weighted_log_score_sum"
"fivefold","binary","M3","species_equal","record_equal","ELPD",-67.8684081694521,-67.8684081694521,"weighted_log_score_sum"
