"Species","HighCount","LowCount","UnclassifiedCount","Trials"
"Fundulus_heteroclitus",0,0,0,0
"Ameca_splendens",0,0,0,0
"Crenichthys_baileyi",0,0,0,0
"Girardinichthys_multiradiatus",0,0,0,0
"Nothobranchius_furzeri",0,0,0,0
"Nothobranchius_kadleci",0,0,0,0
"Nothobranchius_pienaari",0,0,0,0
"Nothobranchius_rachovii",0,0,0,0
"Gambusia_affinis",0,0,0,0
"Gambusia_holbrooki",0,0,0,0
"Poecilia_formosa",0,0,0,0
"Poecilia_latipinna",0,1,0,1
"Poecilia_mexicana",0,0,0,0
"Poecilia_reticulata",0,3,0,3
"Poeciliopsis_prolifica",0,0,0,0
"Poropanchax_normani",2,0,0,2
"Xiphophorus_couchianus",0,0,0,0
"Xiphophorus_hellerii",0,4,0,4
"Xiphophorus_maculatus",0,1,0,1
"Austrofundulus_limnaeus",0,0,0,0
"Kryptolebias_marmoratus",0,0,0,0
"Nematolebias_whitei",0,0,0,0
"Chelon_labrosus",0,0,0,0
"Mugil_cephalus",1,1,0,2
"Planiliza_haematocheilus",0,0,0,0
"Gouania_willdenowi",0,0,0,0
"Blennius_ocellaris",0,0,0,0
"Lipophrys_pholis",0,0,0,0
"Ophioblennius_macclurei",0,0,0,0
"Salarias_fasciatus",0,0,0,0
"Cristiceps_australis",0,0,0,0
"Dicentrarchus_labrax",0,0,0,0
"Morone_saxatilis",0,0,0,0
"Scatophagus_argus",0,0,0,0
"Collichthys_lucidus",0,0,0,0
"Larimichthys_crocea",2,0,0,2
"Nibea_albiflora",0,0,0,0
"Sciaenops_ocellatus",1,0,0,1
"Siganus_canaliculatus",0,0,0,0
"Ammodytes_marinus",0,0,0,0
"Cheilinus_undulatus",0,0,0,0
"Halichoeres_trimaculatus",0,0,0,0
"Notolabrus_celidotus",0,0,0,0
"Semicossyphus_pulcher",0,0,0,0
"Thalassoma_bifasciatum",0,0,0,0
"Xyrichtys_novacula",0,0,0,0
"Platax_orbicularis",1,0,0,1
"Chaetodon_auriga",0,0,0,0
"Chaetodon_trifascialis",0,0,0,0
"Chelmon_rostratus",0,0,0,0
"Caesio_teres",0,0,0,0
"Lutjanus_erythropterus",1,0,0,1
"Pristipomoides_typus",0,0,0,0
"Symphorus_nematophorus",0,0,0,0
"Lethrinus_nebulosus",0,2,0,2
"Acanthopagrus_latus",0,0,0,0
"Acanthopagrus_schlegelii",0,4,0,4
"Pagrus_major",8,1,0,9
"Pagrus_pagrus",0,0,0,0
"Rhabdosargus_sarba",0,1,0,1
"Sparus_aurata",0,0,0,0
"Nelusetta_ayraud",0,0,0,0
"Lateolabrax_japonicus",3,1,0,4
"Lateolabrax_maculatus",1,0,0,1
"Pempheris_klunzingeri",0,0,0,0
"Micropterus_dolomieu",0,0,0,0
"Micropterus_salmoides",3,0,0,3
"Enoplosus_armatus",0,0,0,0
"Oplegnathus_fasciatus",23,0,0,23
"Oplegnathus_punctatus",1,0,0,1
"Maccullochella_peelii",6,2,0,8
"Siniperca_chuatsi",11,0,0,11
"Siniperca_scherzeri",3,1,0,4
"Scortum_barcoo",0,0,0,0
"Anarhichas_minor",0,0,0,0
"Anarrhichthys_ocellatus",0,0,0,0
"Anoplopoma_fimbria",0,0,0,0
"Pogonophryne_albipinna",0,0,0,0
"Gymnodraco_acuticeps",0,0,0,0
"Cottoperca_gobio",0,0,0,0
"Cebidichthys_violaceus",0,0,0,0
"Chaenocephalus_aceratus",0,0,0,0
"Champsocephalus_esox",0,0,0,0
"Champsocephalus_gunnari",0,0,0,0
"Pseudochaenichthys_georgianus",0,0,0,0
"Clinocottus_analis",0,0,0,0
"Taurulus_bubalis",0,0,0,0
"Cyclopterus_lumpus",0,0,0,0
"Eleginops_maclovinus",0,0,0,0
"Cromileptes_altivelis",6,0,0,6
"Epinephelus_bruneus",3,0,0,3
"Epinephelus_coioides",2,0,0,2
"Epinephelus_fuscoguttatus",2,0,0,2
"Epinephelus_lanceolatus",2,0,0,2
"Epinephelus_malabaricus",3,0,0,3
"Epinephelus_multinotatus",0,0,0,0
"Plectropomus_leopardus",2,0,0,2
"Gasterosteus_aculeatus",0,0,0,0
"Pungitius_pungitius",0,0,0,0
"Pungitius_sinensis",0,0,0,0
"Dissostichus_eleginoides",0,0,0,0
"Dissostichus_mawsoni",0,0,0,0
"Notothenia_rossii",0,0,0,0
"Pagothenia_borchgrevinki",0,0,0,0
"Trematomus_bernacchii",0,0,0,0
"Etheostoma_cragini",0,0,0,0
"Perca_flavescens",0,0,0,0
"Perca_fluviatilis",0,0,0,0
"Sander_lucioperca",0,0,0,0
"Sander_vitreus",0,0,0,0
"Pholis_gunnellus",0,0,0,0
"Sebastes_fasciatus",0,0,0,0
"Sebastes_schlegelii",0,0,0,0
"Sebastes_umbrosus",0,0,0,0
"Centropristis_striata",0,0,0,0
"Echiichthys_vipera",0,0,0,0
"Eutrigla_gurnardus",0,0,0,0
"Lycodes_pacificus",0,0,0,0
"Melanostigma_gelatinosum",0,0,0,0
"Zoarces_viviparus",0,0,0,0
