"Check","Design","Fold","Route","Model","TrainWeighting","RunPurpose","RecordType","RowsChecked","ColumnsChecked","PosteriorDraws","MaximumAbsoluteDifference","AbsoluteAndRelativeTolerance","RecomputeSource","Coverage","Status","Reason","SourceVersion","AuditVersion"
"posterior_to_OOF","integration",2,"joint_bb","M2","species_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,4.21884749357559e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","count",15,33,300,3.99680288865056e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,4.44089209850063e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,2.88657986402541e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","count",22,33,300,5.77315972805081e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,4.88498130835069e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","record_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,3.10862446895044e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","count",15,33,300,8.43769498715119e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","exact",13,33,300,4.85722573273506e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",1,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","interval",11,33,300,1.11022302462516e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_full_panel","integration",1,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","all_panel_species",12,21,300,4.9960036108132e-16,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","count",22,33,300,5.77315972805081e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","exact",20,33,300,3.10862446895044e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
"posterior_to_OOF","integration",2,"joint_bb","M3","species_equal","INTEGRATION_TEST_ONLY","interval",33,33,300,4.66293670342566e-15,1e-10,"fitted_posterior_parameters_and_current_inputs","all_rows_in_fit_stratum","PASS","","ratio_analysis_v3_2_weighted_20260921","ratio_analysis_v3_3_weighted_20260922"
