FigureID,Group,Scope,PDF,SVG,PNG,Preview,SourceCSV,WidthMM,HeightMM,Estimand,Interval,ScientificStatus,VisualReview,SourceManifest
F03_roc_calibration_species_Phylogeny_only_P,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_Phylogeny_only_P.svg,F03_roc_calibration_species_Phylogeny_only_P.png,F03_roc_calibration_species_Phylogeny_only_P_preview.png,figure_data\model\F03_roc_calibration_species_Phylogeny_only_P.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_Phylogeny_only_P_provenance.json
F03_roc_calibration_species_Site315_U,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_Site315_U.svg,F03_roc_calibration_species_Site315_U.png,F03_roc_calibration_species_Site315_U_preview.png,figure_data\model\F03_roc_calibration_species_Site315_U.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_Site315_U_provenance.json
F03_roc_calibration_species_Site315_P,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_Site315_P.svg,F03_roc_calibration_species_Site315_P.png,F03_roc_calibration_species_Site315_P_preview.png,figure_data\model\F03_roc_calibration_species_Site315_P.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_Site315_P_provenance.json
F03_roc_calibration_species_M1_U,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M1_U.svg,F03_roc_calibration_species_M1_U.png,F03_roc_calibration_species_M1_U_preview.png,figure_data\model\F03_roc_calibration_species_M1_U.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M1_U_provenance.json
F03_roc_calibration_species_M1_P,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M1_P.svg,F03_roc_calibration_species_M1_P.png,F03_roc_calibration_species_M1_P_preview.png,figure_data\model\F03_roc_calibration_species_M1_P.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M1_P_provenance.json
F03_roc_calibration_species_M2_U,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M2_U.svg,F03_roc_calibration_species_M2_U.png,F03_roc_calibration_species_M2_U_preview.png,figure_data\model\F03_roc_calibration_species_M2_U.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M2_U_provenance.json
F03_roc_calibration_species_M2_P,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M2_P.svg,F03_roc_calibration_species_M2_P.png,F03_roc_calibration_species_M2_P_preview.png,figure_data\model\F03_roc_calibration_species_M2_P.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M2_P_provenance.json
F03_roc_calibration_species_M3_U,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M3_U.svg,F03_roc_calibration_species_M3_U.png,F03_roc_calibration_species_M3_U_preview.png,figure_data\model\F03_roc_calibration_species_M3_U.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M3_U_provenance.json
F03_roc_calibration_species_M3_P,roc_calibration,species,F03_roc_calibration_species.pdf,F03_roc_calibration_species_M3_P.svg,F03_roc_calibration_species_M3_P.png,F03_roc_calibration_species_M3_P_preview.png,figure_data\model\F03_roc_calibration_species_M3_P.csv,205.0,190.0,OOF discrimination and descriptive probability calibration,No invented AUC or calibration confidence interval,DEFINED,COMPLETED_BY_REVIEWER,figures\model\F03_roc_calibration_species_M3_P_provenance.json
F02_auc_summary_species,roc_calibration,species,F02_auc_summary_species.pdf,F02_auc_summary_species.svg,F02_auc_summary_species.png,F02_auc_summary_species_preview.png,figure_data\model\F02_auc_summary_species.csv,180.0,155.0,Unweighted mean of all fold AUCs,"Fold values, not confidence intervals",READY,COMPLETED_BY_REVIEWER,figures\model\F02_auc_summary_species_provenance.json
