"File","Route","Model","Tag","Full","K","Fold","IdentityOK","InputOK","CodeOK","TrainSpecies","Status","MaxRhat","MinBulkESS","MinTailESS","Divergences","TreeDepthHits","MinEBFMI"
"binary_Site315_cv_species5_Site315_f2.rds","binary","Site315","cv_species5_Site315_f2",FALSE,5,2,TRUE,TRUE,TRUE,40,"PASS",1.00057764293723,3545.87752529648,4776.49837623746,0,0,0.977954991329244
"binary_Site315_cv_species5_Site315_f3.rds","binary","Site315","cv_species5_Site315_f3",FALSE,5,3,TRUE,TRUE,TRUE,40,"PASS",1.0012980255246,3425.43892658879,3749.60616601526,0,0,0.919107613302213
"binary_Site315_cv_species5_Site315_f4.rds","binary","Site315","cv_species5_Site315_f4",FALSE,5,4,TRUE,TRUE,TRUE,40,"PASS",1.00104381439724,3545.85753081755,4144.45776712585,0,0,0.945154996148348
"binary_Site315_cv_species5_Site315_f5.rds","binary","Site315","cv_species5_Site315_f5",FALSE,5,5,TRUE,TRUE,TRUE,40,"PASS",1.00179673679066,3250.43993685883,4449.57900439752,0,0,1.00816096124144
"binary_Site315_full.rds","binary","Site315","full",TRUE,0,0,TRUE,TRUE,TRUE,50,"PASS",1.00094996506054,3318.25622771103,4172.62857841233,0,0,0.921569976295963
"joint_M1_cv_species10_M1_f1.rds","joint_bb","M1","cv_species10_M1_f1",FALSE,10,1,TRUE,TRUE,TRUE,45,"PASS",1.00232299459835,3347.24366487708,5007.4319846275,0,0,0.957424314975307
"joint_M1_cv_species10_M1_f10.rds","joint_bb","M1","cv_species10_M1_f10",FALSE,10,10,TRUE,TRUE,TRUE,46,"PASS",1.00152746224437,3949.01385598832,4697.83439109455,0,0,0.923098520212886
"joint_M1_cv_species10_M1_f2.rds","joint_bb","M1","cv_species10_M1_f2",FALSE,10,2,TRUE,TRUE,TRUE,46,"PASS",1.00195111538888,3258.03250791601,4714.77071576328,0,0,0.927319073112889
"joint_M1_cv_species10_M1_f3.rds","joint_bb","M1","cv_species10_M1_f3",FALSE,10,3,TRUE,TRUE,TRUE,46,"PASS",1.00179913304828,3692.57757423467,4899.1678779695,0,0,0.936408315346597
"joint_M1_cv_species10_M1_f4.rds","joint_bb","M1","cv_species10_M1_f4",FALSE,10,4,TRUE,TRUE,TRUE,46,"PASS",1.00135524543699,3841.03714063368,4797.54159919562,0,0,0.947426776979529
"joint_M1_cv_species10_M1_f5.rds","joint_bb","M1","cv_species10_M1_f5",FALSE,10,5,TRUE,TRUE,TRUE,46,"PASS",1.00221840559992,3565.46417328005,4976.43744102104,0,0,0.912642524171676
"joint_M1_cv_species10_M1_f6.rds","joint_bb","M1","cv_species10_M1_f6",FALSE,10,6,TRUE,TRUE,TRUE,46,"PASS",1.00169502876497,3805.20174470046,4623.96614680155,0,0,0.933336839339894
"joint_M1_cv_species10_M1_f7.rds","joint_bb","M1","cv_species10_M1_f7",FALSE,10,7,TRUE,TRUE,TRUE,46,"PASS",1.00145983569039,3626.33188865257,4658.75896028055,0,0,0.961354833286978
"joint_M1_cv_species10_M1_f8.rds","joint_bb","M1","cv_species10_M1_f8",FALSE,10,8,TRUE,TRUE,TRUE,46,"PASS",1.00185937149147,3459.36860317023,4738.50624683712,0,0,0.919944475977435
"joint_M1_cv_species10_M1_f9.rds","joint_bb","M1","cv_species10_M1_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00209328215075,3656.18290125455,4697.51788270075,0,0,0.948733360491249
"joint_M1_cv_species5_M1_f1.rds","joint_bb","M1","cv_species5_M1_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00140426697405,3741.73347824945,4974.37308423898,0,0,0.956559373007345
"joint_M1_cv_species5_M1_f2.rds","joint_bb","M1","cv_species5_M1_f2",FALSE,5,2,TRUE,TRUE,TRUE,41,"PASS",1.00246750715932,3547.36412230051,4520.55787255546,0,0,0.906818584195284
"joint_M1_cv_species5_M1_f3.rds","joint_bb","M1","cv_species5_M1_f3",FALSE,5,3,TRUE,TRUE,TRUE,41,"PASS",1.00155835583495,3315.26185255868,4718.17915031689,0,0,0.956160637773885
"joint_M1_cv_species5_M1_f4.rds","joint_bb","M1","cv_species5_M1_f4",FALSE,5,4,TRUE,TRUE,TRUE,41,"PASS",1.00171924178575,3339.15570812084,4709.76594380857,0,0,0.960490616948652
"joint_M1_cv_species5_M1_f5.rds","joint_bb","M1","cv_species5_M1_f5",FALSE,5,5,TRUE,TRUE,TRUE,41,"PASS",1.00148269671444,3443.69681822717,4624.61030052009,0,0,0.919208092636273
"joint_M1_full.rds","joint_bb","M1","full",TRUE,0,0,TRUE,TRUE,TRUE,51,"PASS",1.00194305403777,3153.69762023136,4790.08943213941,0,0,0.916384638147418
"joint_M2_cv_species10_M2_f1.rds","joint_bb","M2","cv_species10_M2_f1",FALSE,10,1,TRUE,TRUE,TRUE,45,"PASS",1.00196214913111,3282.67555645489,4887.82938666747,0,0,0.922273960440575
"joint_M2_cv_species10_M2_f10.rds","joint_bb","M2","cv_species10_M2_f10",FALSE,10,10,TRUE,TRUE,TRUE,46,"PASS",1.00207068853015,3494.74536502032,4626.32058786575,0,0,0.949916497811873
"joint_M2_cv_species10_M2_f2.rds","joint_bb","M2","cv_species10_M2_f2",FALSE,10,2,TRUE,TRUE,TRUE,46,"PASS",1.0017685813351,3342.13404094456,4328.37083641652,0,0,0.897872184986809
"joint_M2_cv_species10_M2_f3.rds","joint_bb","M2","cv_species10_M2_f3",FALSE,10,3,TRUE,TRUE,TRUE,46,"PASS",1.00226494800948,3178.42495134342,4626.91962916614,0,0,0.943411638205525
"joint_M2_cv_species10_M2_f4.rds","joint_bb","M2","cv_species10_M2_f4",FALSE,10,4,TRUE,TRUE,TRUE,46,"PASS",1.00149136374339,3516.34404785572,4533.64982028973,0,0,0.950834986742082
"joint_M2_cv_species10_M2_f5.rds","joint_bb","M2","cv_species10_M2_f5",FALSE,10,5,TRUE,TRUE,TRUE,46,"PASS",1.00237473397788,3598.9685107205,4786.32607954369,0,0,0.965040455435323
"joint_M2_cv_species10_M2_f6.rds","joint_bb","M2","cv_species10_M2_f6",FALSE,10,6,TRUE,TRUE,TRUE,46,"PASS",1.0019886417015,3441.73897430687,4747.07784437357,0,0,0.897444819021274
"joint_M2_cv_species10_M2_f7.rds","joint_bb","M2","cv_species10_M2_f7",FALSE,10,7,TRUE,TRUE,TRUE,46,"PASS",1.00183579177853,3421.17148927197,4497.36995069225,0,0,0.933518504731655
"joint_M2_cv_species10_M2_f8.rds","joint_bb","M2","cv_species10_M2_f8",FALSE,10,8,TRUE,TRUE,TRUE,46,"PASS",1.0019460833498,3940.19168043785,4816.66523355744,0,0,0.97755959690496
"joint_M2_cv_species10_M2_f9.rds","joint_bb","M2","cv_species10_M2_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00190690279182,3599.12787416042,4951.16112618117,0,0,0.988088045861257
"joint_M2_cv_species5_M2_f1.rds","joint_bb","M2","cv_species5_M2_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00162834313297,3597.5191072455,4703.16805534929,0,0,0.972522900703339
"joint_M2_cv_species5_M2_f2.rds","joint_bb","M2","cv_species5_M2_f2",FALSE,5,2,TRUE,TRUE,TRUE,41,"PASS",1.00164651001351,3628.27897870407,4192.51911333888,0,0,0.925617382847176
"joint_M2_cv_species5_M2_f3.rds","joint_bb","M2","cv_species5_M2_f3",FALSE,5,3,TRUE,TRUE,TRUE,41,"PASS",1.00200505030843,3518.99101052113,5013.77479164682,0,0,0.977593671960194
"joint_M2_cv_species5_M2_f4.rds","joint_bb","M2","cv_species5_M2_f4",FALSE,5,4,TRUE,TRUE,TRUE,41,"PASS",1.002014041529,3526.93570420213,4890.10751548908,0,0,0.977019564810912
"joint_M2_cv_species5_M2_f5.rds","joint_bb","M2","cv_species5_M2_f5",FALSE,5,5,TRUE,TRUE,TRUE,41,"PASS",1.00211759062113,4011.37740873342,4665.58714422648,0,0,0.999230355043702
"joint_M2_full.rds","joint_bb","M2","full",TRUE,0,0,TRUE,TRUE,TRUE,51,"PASS",1.00235525591263,3367.06341775757,4411.07664712572,0,0,0.924013114990218
"joint_M3_cv_species10_M3_f1.rds","joint_bb","M3","cv_species10_M3_f1",FALSE,10,1,TRUE,TRUE,TRUE,45,"PASS",1.0020302646682,3989.61292905075,5253.21217845084,0,0,0.974830730357651
"joint_M3_cv_species10_M3_f10.rds","joint_bb","M3","cv_species10_M3_f10",FALSE,10,10,TRUE,TRUE,TRUE,46,"PASS",1.00309056556993,3770.44308145335,4913.04042162554,0,0,0.95231544764128
"joint_M3_cv_species10_M3_f2.rds","joint_bb","M3","cv_species10_M3_f2",FALSE,10,2,TRUE,TRUE,TRUE,46,"PASS",1.00263643006364,3449.68038855157,4778.86607191791,0,0,0.990413493636251
"joint_M3_cv_species10_M3_f3.rds","joint_bb","M3","cv_species10_M3_f3",FALSE,10,3,TRUE,TRUE,TRUE,46,"PASS",1.0024225191538,3711.17193936618,4657.90648793391,0,0,0.986807259623403
"joint_M3_cv_species10_M3_f4.rds","joint_bb","M3","cv_species10_M3_f4",FALSE,10,4,TRUE,TRUE,TRUE,46,"PASS",1.00303035477486,2920.8687058366,4488.57887790898,0,0,0.894639674530384
"joint_M3_cv_species10_M3_f5.rds","joint_bb","M3","cv_species10_M3_f5",FALSE,10,5,TRUE,TRUE,TRUE,46,"PASS",1.00298676442209,3487.77285163697,5128.19090741253,0,0,0.920552520827599
"joint_M3_cv_species10_M3_f6.rds","joint_bb","M3","cv_species10_M3_f6",FALSE,10,6,TRUE,TRUE,TRUE,46,"PASS",1.00248209657656,3367.17329490368,4538.08618914978,0,0,0.949940190239734
"joint_M3_cv_species10_M3_f7.rds","joint_bb","M3","cv_species10_M3_f7",FALSE,10,7,TRUE,TRUE,TRUE,46,"PASS",1.00237249640961,2988.472006264,4274.76074040558,0,0,0.914334767461185
"joint_M3_cv_species10_M3_f8.rds","joint_bb","M3","cv_species10_M3_f8",FALSE,10,8,TRUE,TRUE,TRUE,46,"PASS",1.00245852475647,3076.16267429256,4489.80086626305,0,0,0.972207070645337
"joint_M3_cv_species10_M3_f9.rds","joint_bb","M3","cv_species10_M3_f9",FALSE,10,9,TRUE,TRUE,TRUE,46,"PASS",1.00300215100569,3441.86217917875,4844.33930430319,0,0,0.98393924373359
"joint_M3_cv_species5_M3_f1.rds","joint_bb","M3","cv_species5_M3_f1",FALSE,5,1,TRUE,TRUE,TRUE,40,"PASS",1.00339472208275,3083.41295841208,3587.21884752296,0,0,0.971123314941894
"joint_M3_cv_species5_M3_f2.rds","joint_bb","M3","cv_species5_M3_f2",FALSE,5,2,TRUE,TRUE,TRUE,41,"PASS",1.00232161232358,3583.6860965697,4417.41511063709,0,0,0.947482594081903
"joint_M3_cv_species5_M3_f3.rds","joint_bb","M3","cv_species5_M3_f3",FALSE,5,3,TRUE,TRUE,TRUE,41,"PASS",1.00181906861165,3608.38016003017,5051.88879618452,0,0,0.967352690924751
"joint_M3_cv_species5_M3_f4.rds","joint_bb","M3","cv_species5_M3_f4",FALSE,5,4,TRUE,TRUE,TRUE,41,"PASS",1.00241595898114,3145.26186305812,4634.37503791494,0,0,0.977292294570803
"joint_M3_cv_species5_M3_f5.rds","joint_bb","M3","cv_species5_M3_f5",FALSE,5,5,TRUE,TRUE,TRUE,41,"PASS",1.00315708477877,3053.3621123391,4305.57990905765,0,0,0.956040003782542
