"FPR","TPR","Design","Model"
0.333333333333333,0.422413793103448,"species5","Site315"
0.333333333333333,0.431034482758621,"species5","Site315"
0.361111111111111,0.431034482758621,"species5","Site315"
0.361111111111111,0.439655172413793,"species5","Site315"
0.361111111111111,0.448275862068966,"species5","Site315"
0.361111111111111,0.456896551724138,"species5","Site315"
0.361111111111111,0.46551724137931,"species5","Site315"
0.388888888888889,0.46551724137931,"species5","Site315"
0.416666666666667,0.46551724137931,"species5","Site315"
0.416666666666667,0.474137931034483,"species5","Site315"
0.416666666666667,0.482758620689655,"species5","Site315"
0.416666666666667,0.491379310344828,"species5","Site315"
0.416666666666667,0.5,"species5","Site315"
0.416666666666667,0.508620689655172,"species5","Site315"
0.416666666666667,0.517241379310345,"species5","Site315"
0.416666666666667,0.525862068965517,"species5","Site315"
0.416666666666667,0.53448275862069,"species5","Site315"
0.416666666666667,0.543103448275862,"species5","Site315"
0.416666666666667,0.551724137931034,"species5","Site315"
0.416666666666667,0.560344827586207,"species5","Site315"
0.444444444444444,0.560344827586207,"species5","Site315"
0.444444444444444,0.568965517241379,"species5","Site315"
0.444444444444444,0.577586206896552,"species5","Site315"
0.444444444444444,0.586206896551724,"species5","Site315"
0.444444444444444,0.594827586206897,"species5","Site315"
0.444444444444444,0.603448275862069,"species5","Site315"
0.444444444444444,0.612068965517241,"species5","Site315"
0.444444444444444,0.620689655172414,"species5","Site315"
0.444444444444444,0.629310344827586,"species5","Site315"
0.444444444444444,0.637931034482759,"species5","Site315"
0.444444444444444,0.646551724137931,"species5","Site315"
0.444444444444444,0.655172413793103,"species5","Site315"
0.444444444444444,0.663793103448276,"species5","Site315"
0.444444444444444,0.672413793103448,"species5","Site315"
0.444444444444444,0.681034482758621,"species5","Site315"
0.444444444444444,0.689655172413793,"species5","Site315"
0.444444444444444,0.698275862068966,"species5","Site315"
0.444444444444444,0.706896551724138,"species5","Site315"
0.444444444444444,0.71551724137931,"species5","Site315"
0.444444444444444,0.724137931034483,"species5","Site315"
0.444444444444444,0.732758620689655,"species5","Site315"
0.444444444444444,0.741379310344828,"species5","Site315"
0.444444444444444,0.75,"species5","Site315"
0.444444444444444,0.758620689655172,"species5","Site315"
0.444444444444444,0.767241379310345,"species5","Site315"
0.444444444444444,0.775862068965517,"species5","Site315"
0.444444444444444,0.78448275862069,"species5","Site315"
0.444444444444444,0.793103448275862,"species5","Site315"
0.444444444444444,0.801724137931034,"species5","Site315"
0.444444444444444,0.810344827586207,"species5","Site315"
0.444444444444444,0.818965517241379,"species5","Site315"
0.444444444444444,0.827586206896552,"species5","Site315"
0.444444444444444,0.836206896551724,"species5","Site315"
0.444444444444444,0.844827586206897,"species5","Site315"
0.444444444444444,0.853448275862069,"species5","Site315"
0.444444444444444,0.862068965517241,"species5","Site315"
0.444444444444444,0.870689655172414,"species5","Site315"
0.444444444444444,0.879310344827586,"species5","Site315"
0.444444444444444,0.887931034482759,"species5","Site315"
0.444444444444444,0.896551724137931,"species5","Site315"
0.444444444444444,0.905172413793103,"species5","Site315"
0.444444444444444,0.913793103448276,"species5","Site315"
0.444444444444444,0.922413793103448,"species5","Site315"
0.444444444444444,0.931034482758621,"species5","Site315"
0.444444444444444,0.939655172413793,"species5","Site315"
0.472222222222222,0.939655172413793,"species5","Site315"
0.5,0.939655172413793,"species5","Site315"
0.527777777777778,0.939655172413793,"species5","Site315"
0.555555555555556,0.939655172413793,"species5","Site315"
0.583333333333333,0.939655172413793,"species5","Site315"
0.611111111111111,0.939655172413793,"species5","Site315"
0.638888888888889,0.939655172413793,"species5","Site315"
0.666666666666667,0.939655172413793,"species5","Site315"
0.694444444444444,0.939655172413793,"species5","Site315"
0.722222222222222,0.939655172413793,"species5","Site315"
0.75,0.939655172413793,"species5","Site315"
0.777777777777778,0.939655172413793,"species5","Site315"
0.805555555555556,0.939655172413793,"species5","Site315"
0.833333333333333,0.939655172413793,"species5","Site315"
0.833333333333333,0.948275862068966,"species5","Site315"
0.861111111111111,0.948275862068966,"species5","Site315"
0.888888888888889,0.948275862068966,"species5","Site315"
0.916666666666667,0.948275862068966,"species5","Site315"
0.944444444444444,0.948275862068966,"species5","Site315"
0.972222222222222,0.948275862068966,"species5","Site315"
0.972222222222222,0.956896551724138,"species5","Site315"
0.972222222222222,0.96551724137931,"species5","Site315"
0.972222222222222,0.974137931034483,"species5","Site315"
1,0.974137931034483,"species5","Site315"
1,0.982758620689655,"species5","Site315"
1,0.991379310344828,"species5","Site315"
1,1,"species5","Site315"
1,1,"species5","Site315"
0,0,"species5","M1"
0,0.00862068965517241,"species5","M1"
0,0.0172413793103448,"species5","M1"
0.0277777777777778,0.0172413793103448,"species5","M1"
0.0555555555555556,0.0172413793103448,"species5","M1"
0.0555555555555556,0.0258620689655172,"species5","M1"
0.0555555555555556,0.0344827586206897,"species5","M1"
0.0555555555555556,0.0431034482758621,"species5","M1"
0.0833333333333333,0.0431034482758621,"species5","M1"
0.0833333333333333,0.0517241379310345,"species5","M1"
0.0833333333333333,0.0603448275862069,"species5","M1"
0.0833333333333333,0.0689655172413793,"species5","M1"
