"Group","RelativeOffset","Side","a","b","lo","hi","ExpectedBranch","Threshold","WidthTrigger","ReferenceTailLogDifference","Stan","Reference","ValueAbsError","Stan_da","Ref_da","GradientScaledError_a","Stan_db","Ref_db","GradientScaledError_b","ValueScaledError"
"width_a1_b1",1e-06,-1,1,1,0.3,0.300002999997,"quadrature","relative_width_1e-5",9.99998999995366e-06,9.99994000050464e-06,-12.7168992693013,-12.7168992693013,0,-0.203967804347603,-0.203967804353796,6.19335138729582e-12,0.643322913203206,0.643322913209676,6.4698246760031e-12,0
"width_a1_b1",1e-06,1,1,1,0.3,0.300003000003,"tail_difference","relative_width_1e-5",1.00000100000663e-05,9.99996000028425e-06,-12.71689726929,-12.71689726929,0,-0.203967804337603,-0.203967804338993,1.39030453816247e-12,0.643322913198921,0.643322913197094,1.82698300932316e-12,0
"tail_b_over_a_1",0.01,-1,3.57086848119682e-05,3.57086848119682e-05,0.2,0.8,"quadrature","tail_log_gap_1e-4",3,9.90000549639936e-05,-9.91353733401512,-9.91353733401512,1.77635683940025e-15,14001.4262650863,14001.4262648639,1.58843957883677e-11,14001.4262650863,14001.4262648639,1.58843957883677e-11,1.79184964917139e-16
"tail_b_over_a_1",0.01,1,3.64300723839272e-05,3.64300723839272e-05,0.2,0.8,"tail_difference","tail_log_gap_1e-4",3,0.000100999943926428,-9.8935377776885,-9.89353777771495,2.64446242681515e-11,13724.1550599799,13724.1550604188,3.19782782560408e-11,13724.1550600056,13724.1550604188,3.01102698766024e-11,2.67291891558929e-12
"tail_b_over_a_1",1e-04,-1,3.60657716600879e-05,3.60657716600879e-05,0.2,0.8,"quadrature","tail_log_gap_1e-4",3,9.99900005556054e-05,-9.90358755281338,-9.90358755281338,1.77635683940025e-15,13862.7906627255,13862.7906627488,1.67966781878632e-12,13862.7906627255,13862.7906627488,1.67966781878632e-12,1.79364985660739e-16
"tail_b_over_a_1",1e-04,1,3.60729855358075e-05,3.60729855358075e-05,0.2,0.8,"tail_difference","tail_log_gap_1e-4",3,0.000100009999444817,-9.90338756390947,-9.90338756391678,7.31148475097143e-12,13860.0182277696,13860.0182280202,1.80777911153309e-11,13860.0182278583,13860.0182280202,1.16811513656378e-11,7.38281189520543e-13
"tail_b_over_a_2",0.01,-1,1.78540945732565e-05,3.5708189146513e-05,0.2,0.8,"quadrature","tail_log_gap_1e-4",3,9.90000412233183e-05,-10.3190025811398,-10.3190025811398,0,37338.9377309837,37338.9377310674,2.24150298647394e-12,9334.15718214668,9334.15718235647,2.24762425506749e-11,0
"tail_b_over_a_2",0.01,1,1.82147833525142e-05,3.64295667050285e-05,0.2,0.8,"tail_difference","tail_log_gap_1e-4",3,0.000100999957945547,-10.2990027472797,-10.2990027472468,3.28785887404592e-11,36599.5375879213,36599.5375865469,3.75521688021646e-11,9149.30714654937,9149.30714628925,2.84304722233927e-11,3.19240508497276e-12
"tail_b_over_a_2",1e-04,-1,1.80326355189891e-05,3.60652710379782e-05,0.2,0.8,"quadrature","tail_log_gap_1e-4",3,9.99900004174936e-05,-10.3090526625295,-10.3090526625295,1.77635683940025e-15,36969.2376586051,36969.2376584531,4.10961330459096e-12,9241.73216423639,9241.73216414637,9.74039779597876e-12,1.72310385595061e-16
"tail_b_over_a_2",1e-04,1,1.80362424067817e-05,3.60724848135633e-05,0.2,0.8,"tail_difference","tail_log_gap_1e-4",3,0.000100009999584705,-10.3088526708569,-10.308852670857,4.79616346638068e-14,36961.8443964622,36961.8443963855,2.07460743770075e-12,9239.88384861741,9239.8838489702,3.81811462790445e-11,4.65247066721536e-15
"legacy_tail_b_over_a_1",1e-04,-1,3.60637711024749e-08,3.60637711024749e-08,0.2,0.8,"quadrature_after_threshold_fix","tail_log_gap_1e-7",3,9.99899998355147e-08,-16.811342841628,-16.811342841628,0,13864328.5756573,13864328.5752405,3.00583551667563e-11,13864328.5756572,13864328.5752405,3.00580864707082e-11,0
"legacy_tail_b_over_a_1",1e-04,1,3.60709845780429e-08,3.60709845780429e-08,0.2,0.8,"quadrature_after_threshold_fix","tail_log_gap_1e-7",3,1.00010000059214e-07,-16.8111428416384,-16.8111428416384,0,13861555.987047,13861555.9873999,2.54575928656834e-11,13861555.987047,13861555.9873999,2.54575928656834e-11,0
"legacy_tail_b_over_a_2",1e-04,-1,1.80318854111299e-08,3.60637708222598e-08,0.2,0.8,"quadrature_after_threshold_fix","tail_log_gap_1e-7",3,9.99900005016485e-08,-17.2168079436271,-17.2168079436271,0,36971544.4385078,36971544.4379961,1.3839726764254e-11,9242885.53235793,9242885.53207513,3.05966883108143e-11,0
"legacy_tail_b_over_a_2",1e-04,1,1.80354921488859e-08,3.60709842977718e-08,0.2,0.8,"quadrature_after_threshold_fix","tail_log_gap_1e-7",3,1.00010000281259e-07,-17.2166079436348,-17.2166079436348,3.5527136788005e-15,36964150.8688231,36964150.8681372,1.85566349007211e-11,9241037.13993676,9241037.14025937,3.4910800335004e-11,2.06353870078919e-16
