"Design","Fold","Route","Model","TrainWeighting","EvalWeighting","RecordsUsed","SpeciesUsed","LogScoreRecordsUsed","LogScoreSpeciesUsed","PointSpeciesUsed","PISpeciesUsed","WeightSum","ELPD","MeanLogScore","AUC","Brier","MAE","RMSE","Bias","PointRecords","PICoverage","MeanPIWidth","PIRecords","Aggregation"
"integration",2,"joint_bb","M1","record_equal","species_equal",75,6,75,6,5,5,75,-83.9383219338302,-1.1191776257844,,,0.258373911083301,0.281308038603109,-0.00494714515711556,42,0.98,0.962188355117509,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M1","species_equal","record_equal",39,6,39,6,6,6,39,-43.5144081357931,-1.11575405476393,,,0.240043939488021,0.258422308071475,0.0270722631902768,28,1,0.950684590298179,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M1","species_equal","species_equal",39,6,39,6,6,6,39,-44.3999524563514,-1.13846031939363,,,0.23847784042492,0.256853626956442,0.0303216932117357,28,1,0.954129074639102,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M1","species_equal","record_equal",75,6,75,6,5,5,75,-83.2626066642153,-1.1101680888562,,,0.258195983891131,0.281451038129033,-0.0147991040368473,42,1,0.954431654176578,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M1","species_equal","species_equal",75,6,75,6,5,5,75,-83.4824741403966,-1.11309965520529,,,0.25761070969817,0.280679076208559,-0.0116477483332632,42,1,0.953570205205267,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M2","record_equal","record_equal",39,6,39,6,6,6,39,-43.347938286338,-1.11148559708559,,,0.238613906193572,0.257298318764758,0.0125144342607272,28,1,0.953836543219417,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M2","record_equal","species_equal",39,6,39,6,6,6,39,-44.2079735058249,-1.13353778220064,,,0.236698243436272,0.255423193236196,0.0145499449060208,28,1,0.958121989716951,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M2","record_equal","record_equal",75,6,75,6,5,5,75,-84.6871456118354,-1.12916194149114,,,0.258611234296375,0.282093589422879,-0.0180225102204931,42,0.976190476190476,0.960610177044992,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M2","record_equal","species_equal",75,6,75,6,5,5,75,-84.6986650188382,-1.12931553358451,,,0.257933155144102,0.28119299242659,-0.0144741804041264,42,0.98,0.961057363052657,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M2","species_equal","record_equal",39,6,39,6,6,6,39,-43.4197230926726,-1.11332623314545,,,0.239652518472307,0.258102257545932,0.0240618254081036,28,1,0.953132136658432,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M2","species_equal","species_equal",39,6,39,6,6,6,39,-44.2679696471517,-1.13507614479876,,,0.237990738716475,0.256418278459256,0.0267624873322678,28,1,0.956439962213753,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M2","species_equal","record_equal",75,6,75,6,5,5,75,-85.0180556067418,-1.13357407475656,,,0.258381326089017,0.281661137209563,-0.0150467487249356,42,0.976190476190476,0.950824623869723,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M2","species_equal","species_equal",75,6,75,6,5,5,75,-85.0047724385238,-1.13339696584698,,,0.257735329351643,0.280803705294714,-0.0115692489668477,42,0.98,0.950401499797685,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M3","record_equal","record_equal",39,6,39,6,6,6,39,-45.4971914326401,-1.16659465211898,,,0.239064061085867,0.257461890103612,0.0157717947775287,28,1,0.975901627365402,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M3","record_equal","species_equal",39,6,39,6,6,6,39,-46.5394019635363,-1.19331799906503,,,0.237258436191128,0.255687370350375,0.0184839294173409,28,1,0.978203050057786,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M3","record_equal","record_equal",75,6,75,6,5,5,75,-94.0480063890892,-1.25397341852119,,,0.258647478498843,0.281820086838399,-0.00567934306993805,42,0.976190476190476,0.989816551099546,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M3","record_equal","species_equal",75,6,75,6,5,5,75,-93.3831839160918,-1.24510911888122,,,0.258138718097904,0.281100246115484,-0.00173738103421295,42,0.98,0.989141889050701,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M3","species_equal","record_equal",39,6,39,6,6,6,39,-44.9931826807547,-1.15367135078858,,,0.23920260079014,0.25754450402331,0.0170191641341741,28,1,0.969140677975628,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",1,"joint_bb","M3","species_equal","species_equal",39,6,39,6,6,6,39,-46.0080504599057,-1.17969360153604,,,0.237430841156445,0.25580085136024,0.0198851179969129,28,1,0.971857761834477,28,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M3","species_equal","record_equal",75,6,75,6,5,5,75,-94.0731477677503,-1.25430863690334,,,0.258078626859177,0.281261935841099,-0.0152988017682758,42,0.976190476190476,0.986160016909451,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
"integration",2,"joint_bb","M3","species_equal","species_equal",75,6,75,6,5,5,75,-93.2330343364825,-1.24310712448643,,,0.257442136812388,0.280452050987145,-0.0123088769070362,42,0.98,0.98511031206935,42,"full_metric_valid_set_weights; PI_matches_record_observation_model"
